icdcode,description1,description2
0232,Brucellosis,Brucella suis
0233,Brucellosis,Brucella canis
0238,Brucellosis,Other
0239,Brucellosis,Unspecified
0240,Glanders,Glanders
0250,Melioidosis,Melioidosis
0260,Rat-bite fever,Spirillary fever
0261,Rat-bite fever,Streptobacillary fever
0269,Rat-bite fever,Unspecified
0270,Other zoonotic bacterial diseases,Listeriosis
0271,Other zoonotic bacterial diseases,Erysipelothrix infection
0272,Other zoonotic bacterial diseases,Pasteurellosis
0278,Other zoonotic bacterial diseases,Other
0279,Other zoonotic bacterial diseases,Unspecified
0300,Leprosy,Lepromatous (type L)
0301,Leprosy,Tuberculoid (type T)
0302,Leprosy,Indeterminate (group I)
0303,Leprosy,Borderline (group B)
0308,Leprosy,Other
0309,Leprosy,Unspecified
0310,Diseases due to other mycobacteria,Pulmonary
0311,Diseases due to other mycobacteria,Cutaneous
0318,Diseases due to other mycobacteria,Other
0319,Diseases due to other mycobacteria,Unspecified
0320,Diphtheria,Faucial diphtheria
0321,Diphtheria,Nasopharyngeal diphtheria
0322,Diphtheria,Anterior nasal diphtheria
0323,Diphtheria,Laryngeal diphtheria
0328,Diphtheria,Other
0329,Diphtheria,"Diphtheria, unspecified"
0330,Whooping cough,Bordetella pertussis (B. pertussis)
0331,Whooping cough,Bordetella parapertussis (B. parapertussis)
0338,Whooping cough,Other specified organism
0339,Whooping cough,"Whooping cough, unspecified organism"
0340,Streptococcal sore throat and scarlatina,Streptococcal sore throat
0341,Streptococcal sore throat and scarlatina,Scarlatina
0350,Erysipelas,Erysipelas
0360,Meningococcal infection,Meningococcal meningitis
0361,Meningococcal infection,Meningococcal encephalitis
0362,Meningococcal infection,Meningococcaemia
0363,Meningococcal infection,"Waterhouse-Friderichsen syndrome, meningococcal"
0364,Meningococcal infection,Meningococcal carditis
0368,Meningococcal infection,Other
0369,Meningococcal infection,Unspecified
0370,Tetanus,Tetanus
0380,Septicaemia,Streptococcal septicaemia
0381,Septicaemia,Staphylococcal septicaemia
0382,Septicaemia,Pneumococcal septicaemia
0383,Septicaemia,Septicaemia due to anaerobes
0384,Septicaemia,Septicaemia due to other gram-negative organisms
0388,Septicaemia,Other specified septicaemias
0389,Septicaemia,Unspecified septicaemia
0390,Actinomycotic infections,Cutaneous
0391,Actinomycotic infections,Pulmonary
0392,Actinomycotic infections,Abdominal
0393,Actinomycotic infections,Cervicofacial
0394,Actinomycotic infections,Madura foot
0398,Actinomycotic infections,Of other specified sites
0399,Actinomycotic infections,Of unspecified site
0400,Other bacterial diseases,Gas gangrene
0401,Other bacterial diseases,Rhinoscleroma
0402,Other bacterial diseases,Whipple's disease
0403,Other bacterial diseases,Necrobacillosis
0408,Other bacterial diseases,Other bacterial diseases
0410,Bacterial infection in conditions classified elsewhere and of unspecified site,Streptococcus
0411,Bacterial infection in conditions classified elsewhere and of unspecified site,Staphylococcus
0412,Bacterial infection in conditions classified elsewhere and of unspecified site,Pneumococcus
0413,Bacterial infection in conditions classified elsewhere and of unspecified site,Friedlander's bacillus
0414,Bacterial infection in conditions classified elsewhere and of unspecified site,Escherichia coli
0415,Bacterial infection in conditions classified elsewhere and of unspecified site,Haemophilus influenzae (H. influenzae)
0416,Bacterial infection in conditions classified elsewhere and of unspecified site,Proteus (mirabilis) (morganii)
0417,Bacterial infection in conditions classified elsewhere and of unspecified site,Pseudomonas
0418,Bacterial infection in conditions classified elsewhere and of unspecified site,Other
0419,Bacterial infection in conditions classified elsewhere and of unspecified site,"Bacterial infection, unspecified"
0420,Human immunodeficiency virus (HIV) infection with specified conditions,HIV with specified conditions
0421,Human immunodeficiency virus (HIV) infection with specified conditions,HIV causing other specified infections
0422,Human immunodeficiency virus (HIV) infection with specified conditions,HIV with specified malignant neoplasms
0429,Human immunodeficiency virus (HIV) infection with specified conditions,Acquired immunodeficiency syndrome unspecified
0430,Human immunodeficiency virus (HIV) infection causing other specified conditions,HIV causing lymphadenopathy
0431,Human immunodeficiency virus (HIV) infection causing other specified conditions,HIV causing specified diseases of the central nervous system
0432,Human immunodeficiency virus (HIV) infection causing other specified conditions,HIV causing other disorders invoving the immune mechanism
0433,Human immunodeficiency virus (HIV) infection causing other specified conditions,HIV causing other specified infections
0439,Human immunodeficiency virus (HIV) infection causing other specified conditions,Acquired immunodeficiency syndrome-related complex unspecified
0440,Other human immunodeficiency virus infection,Causing specified acute infections
0449,Other human immunodeficiency virus infection,"Human immunodeficiency virus infection, unspecified"
0450,Acute poliomyelitis,Acute paralytic poliomyelitis specified as bulbar
0451,Acute poliomyelitis,Acute poliomyelitis with other paralysis
0452,Acute poliomyelitis,Acute nonparalytic poliomyelitis
0459,Acute poliomyelitis,"Acute poliomyelitis, unspecified"
0460,Slow virus infection of central nervous system,Kuru
0461,Slow virus infection of central nervous system,Jakob-Creutzfeldt disease
0462,Slow virus infection of central nervous system,Subacute sclerosing panencephalitis
0463,Slow virus infection of central nervous system,Progressive multifocal leucoencephalopathy
0468,Slow virus infection of central nervous system,Other
0469,Slow virus infection of central nervous system,Unspecified
0470,Meningitis due to enterovirus,Coxsackie virus
0471,Meningitis due to enterovirus,ECHO virus
0478,Meningitis due to enterovirus,Other
0479,Meningitis due to enterovirus,Unspecified
0480,Other enterovirus diseases of central nervous system,Other enterovirus diseases of central nervous system
0490,Other non-arthropod-borne viral diseases of central nervous system,Lymphocytic choriomeningitis
0491,Other non-arthropod-borne viral diseases of central nervous system,Meningitis due to adenovirus
0498,Other non-arthropod-borne viral diseases of central nervous system,Other
0499,Other non-arthropod-borne viral diseases of central nervous system,Unspecified
0500,Smallpox,Variola major
0501,Smallpox,Alastrim
0502,Smallpox,Modified smallpox
0509,Smallpox,"Smallpox, unspecified"
0510,Cowpox and paravaccinia,Cowpox
0511,Cowpox and paravaccinia,Pseudocowpox
0512,Cowpox and paravaccinia,Contagious pustular dermatitis
0519,Cowpox and paravaccinia,"Paravaccinia, unspecified"
0520,Chickenpox,Chickenpox
0530,Herpes zoster,With meningitis
0531,Herpes zoster,With other nervous system complications
0532,Herpes zoster,With ophthalmic complications
0537,Herpes zoster,With other complications
0538,Herpes zoster,With unspecified complications
0539,Herpes zoster,Herpes zoster without mention of complication
0540,Herpes simplex,Eczema herpeticum
0541,Herpes simplex,Genital herpes
0542,Herpes simplex,Herpetic gingivostomatitis
0543,Herpes simplex,Herpetic meningoencephalitis
0544,Herpes simplex,With ophthalmic complications
0545,Herpes simplex,Herpetic septicaemia
0546,Herpes simplex,Herpetic whitlow
0547,Herpes simplex,With other complications
0548,Herpes simplex,With unspecified complication
0549,Herpes simplex,Herpes simplex without mention of complication
0550,Measles,Postmeasles encephalitis
0551,Measles,Postmeasles pneumonia
0552,Measles,Postmeasles otitis
0557,Measles,With other complications
0558,Measles,With unspecified complication
0559,Measles,Measles without mention of complication
0560,Rubella,With neurological complications
0567,Rubella,With other complications
0568,Rubella,With unspecified complications
0569,Rubella,Rubella without mention of complication
0570,Other viral exanthemata,Erythema infectiosum (fifth disease)
0578,Other viral exanthemata,Other
0579,Other viral exanthemata,Unspecified
0600,Yellow fever,Sylvatic
0601,Yellow fever,Urban
0609,Yellow fever,Unspecified
0610,Dengue,Dengue
0620,Mosquito-borne viral encephalitis,Japanese encephalitis
0621,Mosquito-borne viral encephalitis,Western equine encephalitis
0622,Mosquito-borne viral encephalitis,Eastern equine encephalitis
0623,Mosquito-borne viral encephalitis,St. Louis encephalitis
0624,Mosquito-borne viral encephalitis,Australian encephalitis
0625,Mosquito-borne viral encephalitis,California virus encephalitis
0628,Mosquito-borne viral encephalitis,Other
0629,Mosquito-borne viral encephalitis,Unspecified
0630,Tick-borne viral encephalitis,Russian spring-summer (taiga) encephalitis
0631,Tick-borne viral encephalitis,Louping ill
0632,Tick-borne viral encephalitis,Central european encephalitis
0638,Tick-borne viral encephalitis,Other
0639,Tick-borne viral encephalitis,Unspecified
0640,Viral encephalitis transmitted by other and unspecified arthropods,Viral encephalitis transmitted by other and unspecified arthropods
0650,Arthropod-borne haemorrhagic fever,Crimean haemorrhagic fever (CHF congo virus)
0651,Arthropod-borne haemorrhagic fever,Omsk haemorrhagic fever
0652,Arthropod-borne haemorrhagic fever,Kyasanur Forest disease
0653,Arthropod-borne haemorrhagic fever,Other tick-borne haemorrhagic fever
0654,Arthropod-borne haemorrhagic fever,Mosquito-borne haemorrhagic fever
0658,Arthropod-borne haemorrhagic fever,Other
0659,Arthropod-borne haemorrhagic fever,Unspecified
0660,Other arthropod-borne viral diseases,Phlebotomus fever
0661,Other arthropod-borne viral diseases,Tick-borne fever
0662,Other arthropod-borne viral diseases,Venezuelan equine fever
0663,Other arthropod-borne viral diseases,Other mosquito-borne fever
0668,Other arthropod-borne viral diseases,Other
0669,Other arthropod-borne viral diseases,Unspecified
0700,Viral hepatitis,Viral hepatitis A with hepatic coma
0701,Viral hepatitis,Viral hepatitis A without mention of hepatic coma
0702,Viral hepatitis,Viral hepatitis B with hepatic coma
0703,Viral hepatitis,Viral hepatitis B without mention of hepatic coma
0704,Viral hepatitis,Other specified viral hepatitis with hepatic coma
0705,Viral hepatitis,Other specified viral hepatitis without mention of hepatic coma
0706,Viral hepatitis,Unspecified viral hepatitis with hepatic coma
0709,Viral hepatitis,Unspecified viral hepatitis without mention of hepatic coma
0710,Rabies,Rabies
0720,Mumps,Mumps orchitis
0721,Mumps,Mumps meningitis
0722,Mumps,Mumps encephalitis
0723,Mumps,Mumps pancreatitis
0727,Mumps,Mumps with other complications
0728,Mumps,Mumps with unspecified complication
0729,Mumps,Mumps without mention of complication
0730,Ornithosis,Ornithosis
0740,Specific diseases due to Coxsackie virus,Herpangina
0741,Specific diseases due to Coxsackie virus,Epidemic pleurodynia
0742,Specific diseases due to Coxsackie virus,Coxsackie carditis
0743,Specific diseases due to Coxsackie virus,"Hand, foot and mouth disease"
0748,Specific diseases due to Coxsackie virus,Other
0750,Infectious mononucleosis,Infectious mononucleosis
0760,Trachoma,Initial stage
0761,Trachoma,Active stage
0769,Trachoma,Unspecified
0770,Other diseases of conjunctiva due to viruses and chlamydiae,Inclusion conjunctivitis
0771,Other diseases of conjunctiva due to viruses and chlamydiae,Epidemic keratoconjunctivitis
0772,Other diseases of conjunctiva due to viruses and chlamydiae,Pharyngoconjunctival fever
0773,Other diseases of conjunctiva due to viruses and chlamydiae,Other adenoviral conjunctivitis
0774,Other diseases of conjunctiva due to viruses and chlamydiae,Epidemic haemorrhagic conjunctivitis
0778,Other diseases of conjunctiva due to viruses and chlamydiae,Other viral conjunctivitis
0779,Other diseases of conjunctiva due to viruses and chlamydiae,Unspecified
0780,Other diseases due to viruses and chlamydiae,Molluscum contagiosum
0781,Other diseases due to viruses and chlamydiae,Viral warts
0782,Other diseases due to viruses and chlamydiae,Sweating fever
0783,Other diseases due to viruses and chlamydiae,Cat-scratch disease
0784,Other diseases due to viruses and chlamydiae,Foot and mouth disease
0785,Other diseases due to viruses and chlamydiae,Cytomegalic inclusion disease
0786,Other diseases due to viruses and chlamydiae,Haemorrhagic nephrosonephritis
0787,Other diseases due to viruses and chlamydiae,Arenaviral haemorrhagic fever
0788,Other diseases due to viruses and chlamydiae,Other
0790,Viral infection in conditions classified elsewhere and of unspecified site,Adenovirus
0791,Viral infection in conditions classified elsewhere and of unspecified site,ECHO virus
0792,Viral infection in conditions classified elsewhere and of unspecified site,Coxsackie virus
0793,Viral infection in conditions classified elsewhere and of unspecified site,Rhinovirus
0798,Viral infection in conditions classified elsewhere and of unspecified site,Other
0799,Viral infection in conditions classified elsewhere and of unspecified site,Unspecified
0800,Louse-borne (epidemic) typhus,Louse-borne (epidemic) typhus
0810,Other typhus,Murine (endemic) typhus
0811,Other typhus,Brill's disease
0812,Other typhus,Scrub typhus
0819,Other typhus,Unspecified
0820,Tick-borne rickettsioses,Spotted fevers
0821,Tick-borne rickettsioses,Boutonneuse fever
0822,Tick-borne rickettsioses,North Asian tick fever
0823,Tick-borne rickettsioses,Queensland tick typhus
0828,Tick-borne rickettsioses,Other
0829,Tick-borne rickettsioses,Unspecified
0830,Other rickettsioses,Q-fever
0831,Other rickettsioses,Trench fever
0832,Other rickettsioses,Rickettsialpox
0838,Other rickettsioses,Other
0839,Other rickettsioses,Unspecified
0840,Malaria,Falciparum malaria (malignant tertian)
0841,Malaria,Vivax malaria (benign tertian)
0842,Malaria,Quartan malaria
0843,Malaria,Ovale malaria
0844,Malaria,Other malaria
0845,Malaria,Mixed
0846,Malaria,Unspecified
0847,Malaria,Induced malaria
0848,Malaria,Blackwater fever
0849,Malaria,Other pernicious complications of malaria
0850,Leishmaniasis,Visceral (kala-azar)
0851,Leishmaniasis,"Cutaneous, urban"
0852,Leishmaniasis,"Cutaneous, Asian desert"
0853,Leishmaniasis,"Cutaneous, Ethiopian"
0854,Leishmaniasis,"Cutaneous, American"
0855,Leishmaniasis,Mucocutaneous (American)
0859,Leishmaniasis,Unspecified
0860,Trypanosomiasis,Chagas's disease with heart involvement
0861,Trypanosomiasis,Chagas's disease with other organ involvement
0862,Trypanosomiasis,Chagas's disease without mention of organ involvement
0863,Trypanosomiasis,Gambian trypanosomiasis
0864,Trypanosomiasis,Rhodesian trypanosomiasis
0865,Trypanosomiasis,"African trypanosomiasis, unspecified"
0869,Trypanosomiasis,Unspecified
0870,Relapsing fever,Louse-borne
0871,Relapsing fever,Tick-borne
0879,Relapsing fever,Unspecified
0880,Other arthropod-borne diseases,Bartonellosis
0888,Other arthropod-borne diseases,Other
0889,Other arthropod-borne diseases,Unspecified
0900,Congenital syphilis,"Early congenital syphilis, symptomatic"
0901,Congenital syphilis,"Early congenital syphilis, latent"
0902,Congenital syphilis,"Early congenital syphilis, unspecified"
0903,Congenital syphilis,Syphilitic interstitial keratitis
0904,Congenital syphilis,Juvenile neurosyphilis
0905,Congenital syphilis,"Other late congenital syphilis, symptomatic"
0906,Congenital syphilis,"Late congenital syphilis, latent"
0907,Congenital syphilis,"Late congenital syphilis, unspecified"
0909,Congenital syphilis,"Congenital syphilis, unspecified"
0910,"Early syphilis, symptomatic",Genital syphilis (primary)
0911,"Early syphilis, symptomatic",Primary anal syphilis
0912,"Early syphilis, symptomatic",Other primary syphilis
0913,"Early syphilis, symptomatic",Secondary syphilis of skin or mucous membranes
0914,"Early syphilis, symptomatic",Adenopathy due to secondary syphilis
0915,"Early syphilis, symptomatic",Uveitis due to secondary syphilis
0916,"Early syphilis, symptomatic",Secondary syphilis of viscera and bone
0917,"Early syphilis, symptomatic","Secondary syphilis, relapse"
0918,"Early syphilis, symptomatic",Other forms of secondary syphilis
0919,"Early syphilis, symptomatic",Unspecified secondary syphilis
0920,"Early syphilis, latent","Early syphilis, latent, serological relapse after treatment"
0929,"Early syphilis, latent","Early syphilis, latent, unspecified"
0930,Cardiovascular syphilis,"Aneurysm of aorta, specified as syphilitic"
0931,Cardiovascular syphilis,Syphilitic aortitis
0932,Cardiovascular syphilis,Syphilitic endocarditis
0938,Cardiovascular syphilis,Other
0939,Cardiovascular syphilis,Unspecified
0940,Neurosyphilis,Tabes dorsalis
0941,Neurosyphilis,General paresis
0942,Neurosyphilis,Syphilitic meningitis
0943,Neurosyphilis,Asymptomatic neurosyphilis
0948,Neurosyphilis,Other
0949,Neurosyphilis,Unspecified
0950,"Other forms of late syphilis, with symptoms","Other forms of late syphilis, with symptoms"
0960,"Late syphilis, latent","Late syphilis, latent"
0970,Other and unspecified syphilis,"Late syphilis, unspecified"
0971,Other and unspecified syphilis,"Latent syphilis, unspecified"
0979,Other and unspecified syphilis,"Syphilis, unspecified"
0980,Gonococcal infections,"Acute, of lower genitourinary tract"
0981,Gonococcal infections,"Acute, of upper genitourinary tract"
0982,Gonococcal infections,"Chronic, of lower genitourinary tract"
0983,Gonococcal infections,"Chronic, of upper genitourinary tract"
0984,Gonococcal infections,Of eye
0985,Gonococcal infections,Of joint
0986,Gonococcal infections,Of pharynx
0987,Gonococcal infections,Of anus and rectum
0988,Gonococcal infections,Of other sites
0990,Other venereal diseases,Chancroid
0991,Other venereal diseases,Lymphogranuloma venereum
0992,Other venereal diseases,Granuloma inguinale
0993,Other venereal diseases,Reiter's disease
0994,Other venereal diseases,Other nongonococcal urethritis
0998,Other venereal diseases,Other
0999,Other venereal diseases,Unspecified
1000,Leptospirosis,Leptospirosis icterohaemorrhagica
1008,Leptospirosis,Other
1009,Leptospirosis,Unspecified
1010,Vincent's angina,Vincent's angina
1020,Yaws,Initial lesions
1021,Yaws,Multiple papillomata and wet crab yaws
1022,Yaws,Other early skin lesions
1023,Yaws,Hyperkeratosis
1024,Yaws,Gummata and ulcers
1025,Yaws,Gangosa
1026,Yaws,Bone and joint lesions
1027,Yaws,Other manifestations
1028,Yaws,Latent yaws
1029,Yaws,"Yaws, unspecified"
1030,Pinta,Primary lesions
1031,Pinta,Intermediate lesions
1032,Pinta,Late lesions
1033,Pinta,Mixed lesions
1039,Pinta,Unspecified
1040,Other spirochaetal infection,Nonvenereal endemic syphilis
1048,Other spirochaetal infection,Other
1049,Other spirochaetal infection,Unspecified
1100,Dermatophytosis,Of scalp and beard
1101,Dermatophytosis,Of nail
1102,Dermatophytosis,Of hand
1103,Dermatophytosis,Of groin and perianal area
1104,Dermatophytosis,Of foot
1105,Dermatophytosis,Of the body
1106,Dermatophytosis,Deep seated dermatophytosis
1108,Dermatophytosis,Of other sites
1109,Dermatophytosis,Of unspecified site
1110,"Dermatomycosis, other and unspecified",Pityriasis versicolor
1111,"Dermatomycosis, other and unspecified",Tinea nigra
1112,"Dermatomycosis, other and unspecified",Tinea blanca
1113,"Dermatomycosis, other and unspecified",Black piedra
1118,"Dermatomycosis, other and unspecified",Other
1119,"Dermatomycosis, other and unspecified",Unspecified
1120,Candidiasis,Of mouth
1121,Candidiasis,Of vulva and vagina
1122,Candidiasis,Of other urogenital sites
1123,Candidiasis,Of skin and nails
1124,Candidiasis,Of lung
1125,Candidiasis,Disseminated
1128,Candidiasis,Of other sites
1129,Candidiasis,Of unspecified site
1140,Coccidioidomycosis,Coccidioidomycosis
1150,Histoplasmosis,Infection by Histoplasma capsulatum
1151,Histoplasmosis,Infection by Histoplasma duboisii
1159,Histoplasmosis,Unspecified
1160,Blastomycotic infection,Blastomycosis
1161,Blastomycotic infection,Paracoccidioidomycosis
1162,Blastomycotic infection,Lobomycosis
1170,Other mycoses,Rhinosporidiosis
1171,Other mycoses,Sporotrichosis
1172,Other mycoses,Chromoblastomycosis
1173,Other mycoses,Aspergillosis
1174,Other mycoses,Mycotic mycetomas
1175,Other mycoses,Cryptococcosis
1176,Other mycoses,Allescheriosis (Petriellidosis)
1177,Other mycoses,Zygomycosis (Phycomycosis or Mucormycosis)
1178,Other mycoses,Infection by dematiacious fungi (Phaeohyphomycosis)
1179,Other mycoses,Other and unspecified
1180,Opportunistic mycoses,Opportunistic mycoses
1200,Schistosomiasis (bilharziasis),Schistosoma haematobium
1201,Schistosomiasis (bilharziasis),Schistosoma mansoni
1202,Schistosomiasis (bilharziasis),Schistosoma japonicum
1203,Schistosomiasis (bilharziasis),Cutaneous
1208,Schistosomiasis (bilharziasis),Other
1209,Schistosomiasis (bilharziasis),Unspecified
1210,Other trematode infections,Opisthorchiasis
1211,Other trematode infections,Clonorchiasis
1212,Other trematode infections,Paragonimiasis
1213,Other trematode infections,Fascioliasis
1214,Other trematode infections,Fasciolopsiasis
1215,Other trematode infections,Metagonimiasis
1216,Other trematode infections,Heterophyiasis
1218,Other trematode infections,Other
1219,Other trematode infections,Unspecified
1220,Echinococcosis,Echinococcus granulosus infection of liver
1221,Echinococcosis,Echinococcus granulosus infection of lung
1222,Echinococcosis,Echinococcus granulosus infection of thyroid
1223,Echinococcosis,"Echinococcus granulosus infection, other"
1224,Echinococcosis,"Echinococcus granulosus infection, unspecified"
1225,Echinococcosis,Echinococcus multilocularis infection of liver
1226,Echinococcosis,"Echinococcus multilocularis infection, other"
1227,Echinococcosis,"Echinococcus multilocularis infection, unspecified"
1228,Echinococcosis,"Echinococcosis, unspecified, of liver"
1229,Echinococcosis,"Echinococcosis, other and unspecified"
1230,Other cestode infection,"Taenia solium infection, intestinal form"
1231,Other cestode infection,Cysticercosis
1232,Other cestode infection,Taenia saginata infection
1233,Other cestode infection,"Taeniasis, unspecified"
1234,Other cestode infection,"Diphyllobothriasis, intestinal"
1235,Other cestode infection,Sparganosis (larval diphyllobothriasis)
1236,Other cestode infection,Hymenolepiasis
1238,Other cestode infection,Other
1239,Other cestode infection,Unspecified
1240,Trichinosis,Trichinosis
1250,Filarial infection and dracontiasis,Bancroftian filariasis
1251,Filarial infection and dracontiasis,Malayan filariasis
1252,Filarial infection and dracontiasis,Loiasis
1253,Filarial infection and dracontiasis,Onchocerciasis
1254,Filarial infection and dracontiasis,Dipetalonemiasis
1255,Filarial infection and dracontiasis,Mansonella ozzardi infection
1256,Filarial infection and dracontiasis,Other specified filariasis
1257,Filarial infection and dracontiasis,Dracontiasis
1259,Filarial infection and dracontiasis,Unspecified filariasis
1260,Ancylostomiasis and necatoriasis,Ancylostoma duodenale
1261,Ancylostomiasis and necatoriasis,Necator americanus
1262,Ancylostomiasis and necatoriasis,Ancylostoma braziliense
1263,Ancylostomiasis and necatoriasis,Ancylostoma ceylanicum
1268,Ancylostomiasis and necatoriasis,Other specified ancylostoma
1269,Ancylostomiasis and necatoriasis,Unspecified
1270,Other intestinal helminthiases,Ascariasis
1271,Other intestinal helminthiases,Anisakiasis
1272,Other intestinal helminthiases,Strongyloidiasis
1273,Other intestinal helminthiases,Trichuriasis
1274,Other intestinal helminthiases,Enterobiasis
1275,Other intestinal helminthiases,Capillariasis
1276,Other intestinal helminthiases,Trichostrongyliasis
1277,Other intestinal helminthiases,Other intestinal helminthiasis
