Post,Count,First Year Used,Last Year Used,category,is_senior,match_rule,reason
Minister (Department of Environment) (Construction),1,1995,1995,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Department of Social Security) (Disabled),1,1995,1995,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of National Heritage),1,1995,1995,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Social Security) (Welfare Reform),1,1997,1997,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Competitiveness),1,1997,1997,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Transport and the Regions) (Environment)",1,1997,1997,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Transport and the Regions) (Local Government)",1,1997,1997,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department of National Heritage/Department for Culture, Media and Sport)",1,1997,1997,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Education and Employment) (School Standards),1,1998,1998,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Master of the Horse (HM Household),1,1999,1999,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department for Education and Employment) (New Deal and for Women),1,1999,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (Health),1,1999,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Small Business),1,1999,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister (Department for Environment, Food and Rural Affairs) (Environment)",1,2001,2001,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Department for Work and Pensions) (Work),1,2001,2001,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Home Office) (Asylum & Immigration),1,2001,2001,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Home Office) (Police and Crime Reduction),1,2001,2001,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Cabinet Office) and Deputy Minister for Women,1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Culture, Media and Sport) (Sport)",1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Rural Affairs)",1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department of Transport, Local Government and Regions) (Housing & Planning)",1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department of Transport, Local Government and Regions) (Local Government)",1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department of Transport, Local Government and Regions) (Transport)",1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Employment Relations, Industry & the Regions)",1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Energy and Construction),1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Prisons),1,2001,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Home Office) (Citizenship, Immigration and Counter-Terrorism)",1,2002,2002,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Criminal Justice System),1,2002,2002,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (without Portfolio),1,2003,2003,ambiguous,False,default,No rule matched; review/override if needed.
"Minister of State (Department for Culture, Media and Sport) (Tourism)",1,2003,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Climate Change and Environment)",1,2003,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Education and Skills) (Children),1,2003,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Criminal Justice and Offender Management),1,2003,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Industry and the Regions) and Deputy Minister (Women),1,2003,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Middle East),1,2003,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Education and Skills) (School Standards),1,2004,2004,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Home Office) (Citizenship, Immigration and Nationality)",1,2004,2004,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister (Department for Culture, Media and Sport) (Media and Tourism)",1,2005,2005,ambiguous,False,default,No rule matched; review/override if needed.
"Minister of State (Department for Culture, Media and Sport) (Culture)",1,2005,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Constitutional Affairs),1,2005,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (NHS Delivery),1,2005,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (Quality and Patient Safety),1,2005,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Education and Skills) (Children, Young People and Families)",1,2005,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Culture, Media and Sport) (Creative Industries & Tourism)",1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Climate Change and the Environment)",1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Local Environment, Marine and Animal Welfare)",1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Sustainable Farming and Food)",1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Communities and Local Government) (Housing and Planning),1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Communities and Local Government) (Local Government and Community Cohesion),1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (Delivery and Quality),1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Science and Innovation),1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Trade and Industry) (Trade, Investment and Foreign Affairs) (also in the Foreign and Commonwealth Office)",1,2006,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State  (Ministry of Defence) (Defence Equipment and Support),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Africa, Asia and the UN)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Cabinet Office) (Olympics and Paymaster General),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (Competitiveness)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (Employment Relations and Postal Affairs)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (Energy)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (Trade Promotion and Investment)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Children, Schools and Families) (Children and Youth Justice) (and Minister for the North West)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Culture, Media and Sport) (Culture, Creative Industries and Tourism)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Environment)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Sustainable Farming, Food and Animal Welfare)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Innovation, Universities and Skills) (Lifelong Learning, Further and Higher Education)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Communities and Local Government) (Local Government),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign and Commonwealth Office) (also in the Department of Business, Enterprise and Regulatory Reform)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Government Equalities Office),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Borders and Immigration),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Crime Reduction),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Immigration and Asylum),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Home Office) (Security, Counter-terrorism, Crime and Policing)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Ministry of Defence) (Defence Equipment and Support) (also Department of Business, Enterprise and Regulatory Reform)",1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (East of England),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (North East),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (South East),1,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Special Envoy for Forestry,1,2007,2007,ambiguous,False,default,No rule matched; review/override if needed.
"Financial Secretary (HM Treasury) (also in the Department for Business, Innovation and Skills)",1,2008,2008,ambiguous,False,regex:\bfinancial secretary\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (Trade, Investment and Consumer Affairs) (also Department for International Development)",1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Sustainable Development, Climate Change Adaptation and Air Quality) (also in the Department for Energy and Climate Change)",1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Innovation, Universities and Skills) (Higher Education & Intellectual Property)",1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Employment and  Welfare Reform),1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Pensions Reform) and Minister (Yorkshire and the Humber),1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Borders and Immigration) (also in HM Treasury),1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Home Office) (Policing, Crime & Security)",1,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Cabinet Office) (Also Minister for Olympics and Paymaster General),1,2009,2009,ambiguous,False,regex:\bpaymaster general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Africa and UN),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Cabinet Office) (Third Sector),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (UK Trade and Investment) (also Foreign and Commonwealth Office)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Further Education, Skills, Apprenticeships and Consumer Affairs)  (also Department for Children, Schools and Families)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Higher Education and Intellectual Property)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Regional Economic Development and Co-ordination); (also in the Department for Communities and Local Government)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Science and Innovation)  (also in the Ministry of Defence)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Trade, Investment and Small Business) (also in the Foreign and Commonwealth Office)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Children, Schools and Families) (Children, Young People and Families)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Children, Schools and Families) (also Department for Business, Innovation and Skills)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Communities and Local Government) (Local Government) (also in the Department for Business, Innovation and Skills)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Culture, Media and Sport) (Culture and Tourism)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign and Commonwealth Office) (UK Trade and Investment) (also in the Department for Business, Innovation and Skills)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Government Equalities Office) (also in the Ministry of Justice),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Crime and Policing),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Ministry of Defence) (also in the Department for Business, Innovation and Skills)",1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Justice) (also in Government Equalities Office),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (East Midlands),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (North West),1,2009,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Attorney General's Office),1,2010,2010,ambiguous,False,regex:\battorney general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Department for Transport),1,2010,2010,ambiguous,False,default,No rule matched; review/override if needed.
Lords Spokesperson (Home Office) (Equalities and Women's Issues),1,2010,2010,ambiguous,False,default,No rule matched; review/override if needed.
Lords Spokesperson (Scotland Office),1,2010,2010,ambiguous,False,default,No rule matched; review/override if needed.
Lords Spokesperson (Wales Office),1,2010,2010,ambiguous,False,default,No rule matched; review/override if needed.
Minister for Government Policy (Cabinet Office),1,2010,2010,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Further Education, Skills and Lifelong Learning) (also in the Department for Education)",1,2010,2010,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Communities and Local Government) (Decentralisation and Cities) (also in the Department for Business, Innovation and Skills)",1,2010,2010,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Education) (Children and Families),1,2010,2010,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Foreign and Commonwealth Office) (European issues and NATO),1,2010,2010,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Foreign and Commonwealth Office) (International Energy Policy),1,2010,2010,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Decentralisation and Cities) (also in the Department for Communities and Local Government)",1,2011,2011,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Cabinet Office) (Jointly with the Department for Education),1,2012,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Education) (Jointly with the Cabinet Office),1,2012,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Senior Minister of State (Department for Communities and Local Government) (Faith and Communities) (also in the Foreign and Commonwealth Office),1,2012,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Senior Minister of State (Foreign and Commonwealth Office) (Jointly with the Department for Communities and Local Government),1,2012,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Jointly with Department of Energy and Climate Change)",1,2013,2013,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department of Energy and Climate Change) (Jointly with Department for Business, Innovation and Skills)",1,2013,2013,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Equality,1,2014,2014,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Faith,1,2014,2014,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Cabinet Office) (Head of the Number 10 Policy Unit),1,2014,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Disabled People),1,2014,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Security and Immigration),1,2014,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State for Culture and the Digital Economy (Jointly with Department for Business, Innovation and Skills)",1,2014,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State for Culture and the Digital Economy (Jointly with Department for Culture Media and Sport),1,2014,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Equalities (Department for Education),1,2015,2015,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Pensions),1,2015,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Welfare Reform),1,2015,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Defence) (Defence Procurement),1,2015,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Parliamentary Under Secretary for Department for Communities and Local Government (Jointly with Home Office and Department for International Development),1,2015,2015,ambiguous,False,default,No rule matched; review/override if needed.
Parliamentary Under Secretary for Department for International Development (Jointly with Home Office and Department for Communities and Local Government),1,2015,2015,ambiguous,False,default,No rule matched; review/override if needed.
Parliamentary Under Secretary for Home Office (Jointly with Department for Communities and Local Government and Department for International Development),1,2015,2015,ambiguous,False,default,No rule matched; review/override if needed.
Commercial Secretary (Minister of State) (HM Treasury),1,2016,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Department for Education) (Higher Education),1,2016,2016,ambiguous,False,default,No rule matched; review/override if needed.
Lords Spokesperson (Home Office),1,2016,2016,ambiguous,False,default,No rule matched; review/override if needed.
Lords Spokesperson (Ministry of Justice),1,2016,2016,ambiguous,False,default,No rule matched; review/override if needed.
"Minister of State (Department for Communities and Local Government) (Housing, Planning and London)",1,2016,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Culture, Media and Sport) (Digital Policy)",1,2016,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Education) (Apprenticeships and Skills),1,2016,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Policing and the Fire Service),1,2016,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for International Trade) (and Minister for London),1,2017,2017,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
