name,description,url,release_date
"Earnings and hours worked, place of work and place of residence by local enterprise partnerships: ASHE Tables 27 and 28","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work-based and home-based local enterprise partnerships. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-27-and-28,
"Earnings and hours worked, place of work and residence by local authority: ASHE Tables 7 and 8 ","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work-based and residence-based region to local and unitary authority level. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-7-and-8,
"Earnings and hours worked, region by occupation by two-digit SOC: ASHE Table 3","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region and two-digit Standard Occupational Classification 2010. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-3,
Economic activity status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS066,
Economic activity status by country of birth,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status and by country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM017,
Economic activity status by ethnic group,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM018,
Economic activity status by hours worked by disability,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by hours worked and by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM019,
Economic activity status by living arrangements,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by economic activity status and by living arrangements. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM020,
Economic activity status by passports held,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, and by passports held. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM021,
Economic activity status by provision of unpaid care by general health,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by provision of unpaid care, and by general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM022,
Economic activity status by religion,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM023,
Economic activity status by sex by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM024,
Economic activity status by sex by employment history,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by sex, and by whether and when they were last employed. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM025,
Effects of Taxes and Benefits on Household Income,"Estimates of mean and median annual incomes in the UK, by quintile groups.
The redistribution effects on individuals of direct and indirect taxation and benefits received in cash or kind.",https://api.beta.ons.gov.uk/v1/datasets/tax-benefits-statistics,
Employment history,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales who were not in employment on Census Day, 21 March 2021, by whether and when they were last employed. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS065,
Ethnic group,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS021,
Ethnic group (detailed),"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS022,
Ethnic group by accommodation type,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by ethnic group and by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM026,
Ethnic group by age of arrival in the UK,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group and by age of arrival in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM027,
Ethnic group by occupancy rating (bedrooms),"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by ethnic group and by occupancy rating (bedrooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM028,
Ethnic group by occupancy rating (rooms),"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by ethnic group and by occupancy rating (rooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM029,
Ethnic group by provision of unpaid care by general health,"This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in England and Wales by ethnic group, by provision of unpaid care, and by general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM030,
Ethnic group by religion,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM031,
Ethnic group by sex by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM032,
Ethnic group of dependent child by sex,"This dataset provides Census 2021 estimates that classify usually resident dependent children in England and Wales by ethnic group and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM033,
Expenditure on healthcare: UK Health Accounts,"Healthcare expenditure statistics, produced to the international definitions of the System of Health Accounts 2011.

Subcategories may not sum to aggregates due to rounding.",https://api.beta.ons.gov.uk/v1/datasets/health-accounts,
Family status by number of parents working by economic activity status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in families with dependent children in England and Wales by family status, by number of parents working, and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM034,
Family type by parents' ability to speak Welsh by age and ability to speak Welsh of dependent child,"This dataset provides Census 2021 estimates that classify usually resident dependent children aged 3 years and over in families in Wales by family type, by the parents' ability to speak Welsh, by age, and by the ability to speak Welsh. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM155,
Faster Indicators - Online Job Advert Estimates,Experimental job advert indices covering the UK job market.,https://api.beta.ons.gov.uk/v1/datasets/online-job-advert-estimates,
GDP by local authority,"Gross domestic product (GDP) in current market prices and as chained volume measures, plus GDP per capita, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",https://api.beta.ons.gov.uk/v1/datasets/gdp-by-local-authority,
GDP monthly estimate (incorporating the Index of Services and Index of Production),"Gross domestic product (GDP) measures the value of goods and services produced in the UK. It estimates the size of and growth in the economy. This dataset also contains the Index of Services (monthly movements in output for the services industries) and the Index of Production (movements in the volume of production for the UK production industries: manufacturing, mining and quarrying, energy supply, and water and waste management). Figures are seasonally adjusted.",https://api.beta.ons.gov.uk/v1/datasets/gdp-to-four-decimal-places,
GVA by industry by local authority,"Gross value added (balanced) in current basic prices and as chained volume measures, with a breakdown by 24 industry sectors, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",https://api.beta.ons.gov.uk/v1/datasets/gva-by-industry-by-local-authority,
Gender identity,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS078,
Gender identity (detailed),"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS070,
Gender identity by NS-SEC,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM170,
Gender identity by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM035,
Gender identity by age by sex,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity, by age, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM163,
Gender identity by disability,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM036,
Gender identity by dwelling type,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and dwelling type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM165,
Gender identity by economic activity status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM037,
Gender identity by ethnic group,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM038,
Gender identity by general health,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM039,
Gender identity by highest qualification held,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and highest level of qualification. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM167,
Gender identity by hours worked,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales, by gender identity and hours worked. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM168,
Gender identity by household composition,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and household composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM166,
Gender identity by industry,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM169,
Gender identity by legal partnership status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and legal partnership status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM040,
Gender identity by occupancy rating (bedrooms),"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and occupancy rating (bedrooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM171,
Gender identity by occupancy rating (rooms),"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and occupancy rating (rooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM172,
Gender identity by occupation,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by gender identity and occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM041,
Gender identity by religion,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM173,
Gender identity by sex,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM174,
Gender identity by sexual orientation,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and sexual orientation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM175,
Gender identity by tenure,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM176,
Gender identity by type of central heating in household,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and central heating. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM164,
