icd_version,cause,cause_description,harmonized_category,harmonized_category_name,classification_confidence
ICD-1 (1901-1910),1310.0,"Appendicitis, perityphlitis",digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1320.0,Hernia,digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1330.0,Intestinal obstruction,digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1340.0,Other diseases of intestines,digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1350.0,Peritonitis (not puerperal),digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1360.0,Cirrhosis of liver,digestive,Diseases of the Digestive System,high
ICD-1 (1901-1910),1370.0,Other diseases of liver and gall bladder,digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1380.0,Other diseases of digestive system,digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1390.0,Diseases of spleen,other,Other and Unclassified,low
ICD-1 (1901-1910),140.0,Mumps,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1400.0,Other diseases of lymphatic system,other,Other and Unclassified,low
ICD-1 (1901-1910),1410.0,Diseases of thyroid body,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
ICD-1 (1901-1910),1420.0,Diseases of supra renal capsules,genitourinary,Diseases of the Genitourinary System,medium
ICD-1 (1901-1910),1430.0,"Acute nephritis, uraemia",genitourinary,Diseases of the Genitourinary System,medium
ICD-1 (1901-1910),1440.0,"Chronic Bright's disease, albuminuria",other,Other and Unclassified,low
ICD-1 (1901-1910),1450.0,Calculus (not biliary),other,Other and Unclassified,low
ICD-1 (1901-1910),1460.0,Diseases of bladder and of prostate,genitourinary,Diseases of the Genitourinary System,high
ICD-1 (1901-1910),1470.0,Other diseases of urinary system,genitourinary,Diseases of the Genitourinary System,medium
ICD-1 (1901-1910),1480.0,Ovarian tumour (not malignant),neoplasms,Neoplasms (Cancers and Tumors),high
ICD-1 (1901-1910),1490.0,Other diseases of ovary,genitourinary,Diseases of the Genitourinary System,medium
ICD-1 (1901-1910),150.0,Diphtheria,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1500.0,Uterine tumour (not malignant),neoplasms,Neoplasms (Cancers and Tumors),high
ICD-1 (1901-1910),1510.0,Other diseases of uterus and vagina,genitourinary,Diseases of the Genitourinary System,high
ICD-1 (1901-1910),1520.0,Disorders of menstruation,other,Other and Unclassified,low
ICD-1 (1901-1910),1530.0,Other diseases of generative and mammary organs,other,Other and Unclassified,low
ICD-1 (1901-1910),1540.0,"Abortion, miscarriage",pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",high
ICD-1 (1901-1910),1550.0,Puerperal mania,mental_behavioral,Mental and Behavioral Disorders,medium
ICD-1 (1901-1910),1560.0,Puerperal convulsions,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),1570.0,"Placenta praevia, flooding",pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",medium
ICD-1 (1901-1910),1580.0,Other accidents of pregnancy and childbirth,pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",high
ICD-1 (1901-1910),1590.0,"Caries, necrosis",other,Other and Unclassified,low
ICD-1 (1901-1910),160.0,Cerebro-spinal fever,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1600.0,"Arthritis, periostitis",musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
ICD-1 (1901-1910),1610.0,Other diseases of locomotor system,other,Other and Unclassified,low
ICD-1 (1901-1910),1620.0,"Ulcer, bed-sore",digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),1630.0,Eczema,skin,Diseases of the Skin,medium
ICD-1 (1901-1910),1640.0,Pemphigus,blood_immune,Blood and Immune System Disorders,medium
ICD-1 (1901-1910),1650.0,Other diseases of the skin,skin,Diseases of the Skin,medium
ICD-1 (1901-1910),1660.0,"Atrophy, debility",ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
ICD-1 (1901-1910),1670.0,Old age,ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
ICD-1 (1901-1910),1680.0,"Dropsy, ascites, anasarca",other,Other and Unclassified,low
ICD-1 (1901-1910),1690.0,Tumour,neoplasms,Neoplasms (Cancers and Tumors),medium
ICD-1 (1901-1910),170.0,Pyrexia (origin uncertain),other,Other and Unclassified,low
ICD-1 (1901-1910),1700.0,Abscess,skin,Diseases of the Skin,medium
ICD-1 (1901-1910),1710.0,Haemorrhage,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),1720.0,Sudden death (cause unascertained),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
ICD-1 (1901-1910),1730.0,Other ill-defined causes,ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
ICD-1 (1901-1910),1740.0,Causes not specified,ill_defined,"Symptoms, Signs and Ill-Defined Conditions",override
ICD-1 (1901-1910),1741.0,Other specified diseases,other,Other and Unclassified,low
ICD-1 (1901-1910),1750.0,Mines and quarries,other,Other and Unclassified,low
ICD-1 (1901-1910),1760.0,Vehicles and horses,other,Other and Unclassified,low
ICD-1 (1901-1910),1770.0,"Ships, boats, docks (not drowning)",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),1780.0,Building operations,other,Other and Unclassified,low
ICD-1 (1901-1910),1790.0,Machinery,other,Other and Unclassified,low
ICD-1 (1901-1910),180.0,Enteric fever,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1800.0,Weapons and instruments,Homicide,Homicide and Assault,override
ICD-1 (1901-1910),1810.0,Burns and scalds,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),1820.0,"Poisons, poisonous vapours",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),1830.0,Drowning,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),1840.0,Suffocation,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),1850.0,Falls,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),1860.0,Weather agencies,other,Other and Unclassified,low
ICD-1 (1901-1910),1870.0,Otherwise or not stated,other,Other and Unclassified,low
ICD-1 (1901-1910),1880.0,Battle,War,War and War-Related Deaths,override
ICD-1 (1901-1910),1890.0,Homicide,Homicide,Homicide and Assault,override
ICD-1 (1901-1910),190.0,Asiatic cholera,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1900.0,Suicide,Suicide,Suicide and Self-Inflicted Injury,override
ICD-1 (1901-1910),1910.0,Execution,Homicide,Homicide and Assault,override
ICD-1 (1901-1910),20.0,Small pox - not vaccinated,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),200.0,Diarrhoea due to food,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),210.0,"Infective enteritis, epidemic diarrhoea",infectious_diseases,Infectious and Parasitic Diseases,high
ICD-1 (1901-1910),220.0,Diarrhoea (not otherwise defined),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),230.0,Dysentry,other,Other and Unclassified,low
ICD-1 (1901-1910),240.0,Tetanus,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),250.0,Malaria,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),260.0,"Rabies, hydrophobia",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),270.0,Glanders,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),280.0,Anthrax (splenic fever),infectious_diseases,Infectious and Parasitic Diseases,high
ICD-1 (1901-1910),290.0,Syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),30.0,Small pox - doubtful,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),300.0,Gonorrhoea,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),310.0,Phlegmasia alba dolens,other,Other and Unclassified,low
ICD-1 (1901-1910),320.0,Puerperal septicaemia/septic intoxication,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),330.0,Puerperal pyaemia,pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",medium
ICD-1 (1901-1910),340.0,Puerperal fever (not otherwise def.),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),350.0,Infective endocarditis,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),360.0,Pneumonia - lobar,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),370.0,Pneumonia - epidemic,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),380.0,Pneumonia - broncho,respiratory,Diseases of the Respiratory System,high
ICD-1 (1901-1910),390.0,Pneumonia - not def.,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),40.0,Cow-pox and other effects of vaccination,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),400.0,Erysipelas,skin,Diseases of the Skin,medium
ICD-1 (1901-1910),410.0,"Septicaemia, septic intoxication (not puerperal)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),420.0,Pyaemia (not puerperal),pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",medium
ICD-1 (1901-1910),430.0,"Phlegmon, carbuncle (not anthrax)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),440.0,Phagedaena,other,Other and Unclassified,low
ICD-1 (1901-1910),450.0,Other infective processes,other,Other and Unclassified,low
ICD-1 (1901-1910),460.0,Pulmonary tuberculosis (tuberculous phthisis),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),470.0,Phthisis (not otherwise def.),other,Other and Unclassified,low
ICD-1 (1901-1910),480.0,Tuberculous meningitis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),490.0,Tuberculous peritonitis,digestive,Diseases of the Digestive System,medium
ICD-1 (1901-1910),50.0,Chicken - pox,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),500.0,Tabes mesenterica,other,Other and Unclassified,low
ICD-1 (1901-1910),510.0,Lupus,other,Other and Unclassified,low
ICD-1 (1901-1910),520.0,Tubercle of other organs,other,Other and Unclassified,low
ICD-1 (1901-1910),530.0,General tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),540.0,Scrofula,other,Other and Unclassified,low
ICD-1 (1901-1910),550.0,Parasitic diseases,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),560.0,Starvation,other,Other and Unclassified,low
ICD-1 (1901-1910),570.0,Scurvy,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
ICD-1 (1901-1910),580.0,Alcoholism/delirium tremens,Legal Drugs,Legal Drug-Related Deaths,high
ICD-1 (1901-1910),590.0,"Opium, morphia habit",Drugs,Drug-Related Deaths,override
ICD-1 (1901-1910),60.0,Measles (morbilli),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),600.0,Industrial poisoning by lead,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),610.0,Industrial poisoning by phosphorus,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),620.0,Industrial poisoning by arsenic & other metals,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-1 (1901-1910),630.0,"Rheumatic fever, acute rheumatism",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),640.0,Rheumatism of heart,eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),650.0,Chronic rheumatism,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
ICD-1 (1901-1910),660.0,"Rheumatoid arthritis, rheumatic gout",musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,high
ICD-1 (1901-1910),670.0,Gout,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
ICD-1 (1901-1910),680.0,Carcinoma,neoplasms,Neoplasms (Cancers and Tumors),medium
ICD-1 (1901-1910),690.0,Sarcoma,neoplasms,Neoplasms (Cancers and Tumors),medium
ICD-1 (1901-1910),70.0,German measles,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),700.0,"Cancer, malignant disease (n.o.d.)",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-1 (1901-1910),710.0,Rickets,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
ICD-1 (1901-1910),720.0,Purpura,blood_immune,Blood and Immune System Disorders,medium
ICD-1 (1901-1910),730.0,"Haemophilia, haemorrhagic diathesis",blood_immune,Blood and Immune System Disorders,medium
ICD-1 (1901-1910),740.0,"Anaemia, leucocythaemia",blood_immune,Blood and Immune System Disorders,medium
ICD-1 (1901-1910),750.0,Diabetes mellitus,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
ICD-1 (1901-1910),760.0,Premature birth,perinatal,Conditions Originating in Perinatal Period,medium
ICD-1 (1901-1910),770.0,Congenital hydrocephalus,genitourinary,Diseases of the Genitourinary System,medium
ICD-1 (1901-1910),780.0,Other congenital defects,genitourinary,Diseases of the Genitourinary System,medium
ICD-1 (1901-1910),790.0,Injury at birth,perinatal,Conditions Originating in Perinatal Period,medium
ICD-1 (1901-1910),80.0,Scarlet fever,infectious_diseases,Infectious and Parasitic Diseases,high
ICD-1 (1901-1910),800.0,Atelectasis,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),810.0,Want of breast milk,other,Other and Unclassified,low
ICD-1 (1901-1910),820.0,Teething,other,Other and Unclassified,low
ICD-1 (1901-1910),830.0,"Meningitis, brain inflammation",nervous_system,Diseases of the Nervous System,high
ICD-1 (1901-1910),840.0,Softening of brain,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),850.0,General paralysis of insane,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),860.0,Insanity (not puerperal),mental_behavioral,Mental and Behavioral Disorders,medium
ICD-1 (1901-1910),870.0,Chorea,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),880.0,Epilepsy,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),890.0,Convulsions,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),90.0,Typhus,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),900.0,Laryngismus stridulus,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),910.0,Locomotor ataxy,other,Other and Unclassified,low
ICD-1 (1901-1910),920.0,"Paraplegia, diseases of cord",other,Other and Unclassified,low
ICD-1 (1901-1910),930.0,"Neuritis, peripheral, polyneuritis",nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),940.0,Brain tumour (not specific),neoplasms,Neoplasms (Cancers and Tumors),medium
ICD-1 (1901-1910),950.0,Other diseases of nervous system,nervous_system,Diseases of the Nervous System,medium
ICD-1 (1901-1910),960.0,"Otitis, mastoid disease",eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),970.0,"Epistaxis, diseases of nose",other,Other and Unclassified,low
ICD-1 (1901-1910),980.0,"Ophthalmia, eye diseases",eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),990.0,"Valvular disease, endocarditis (not infective)",circulatory,Diseases of the Circulatory System,medium
ICD-10 (2001-),A010,Infectious and parasitic diseases (A010),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A020,Infectious and parasitic diseases (A020),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A021,Infectious and parasitic diseases (A021),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A022,Infectious and parasitic diseases (A022),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A029,Infectious and parasitic diseases (A029),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A039,Infectious and parasitic diseases (A039),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A042,Infectious and parasitic diseases (A042),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A043,Infectious and parasitic diseases (A043),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A044,Infectious and parasitic diseases (A044),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A045,Infectious and parasitic diseases (A045),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A047,Infectious and parasitic diseases (A047),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A048,Infectious and parasitic diseases (A048),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A049,Infectious and parasitic diseases (A049),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A051,Infectious and parasitic diseases (A051),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A052,Infectious and parasitic diseases (A052),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A058,Infectious and parasitic diseases (A058),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A059,Infectious and parasitic diseases (A059),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A060,Infectious and parasitic diseases (A060),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A064,Infectious and parasitic diseases (A064),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A069,Infectious and parasitic diseases (A069),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A071,Infectious and parasitic diseases (A071),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A072,Infectious and parasitic diseases (A072),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A073,Infectious and parasitic diseases (A073),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A080,Infectious and parasitic diseases (A080),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A081,Infectious and parasitic diseases (A081),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A082,Infectious and parasitic diseases (A082),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A083,Infectious and parasitic diseases (A083),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A084,Infectious and parasitic diseases (A084),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A085,Infectious and parasitic diseases (A085),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A09,Diarrhoea and gastroenteritis,infectious_diseases,Infectious and Parasitic Diseases,high
ICD-10 (2001-),A090,Diarrhoea and gastroenteritis (A090),infectious_diseases,Infectious and Parasitic Diseases,high
ICD-10 (2001-),A099,Diarrhoea and gastroenteritis (A099),infectious_diseases,Infectious and Parasitic Diseases,high
ICD-10 (2001-),A156,Respiratory tuberculosis (A156),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A159,Respiratory tuberculosis (A159),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A162,"Respiratory tuberculosis, not confirmed (A162)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A164,"Respiratory tuberculosis, not confirmed (A164)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A165,"Respiratory tuberculosis, not confirmed (A165)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A167,"Respiratory tuberculosis, not confirmed (A167)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A168,"Respiratory tuberculosis, not confirmed (A168)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A169,"Respiratory tuberculosis, not confirmed (A169)",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A170,Infectious and parasitic diseases (A170),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A178,Infectious and parasitic diseases (A178),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A179,Infectious and parasitic diseases (A179),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A180,Infectious and parasitic diseases (A180),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A181,Infectious and parasitic diseases (A181),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A182,Infectious and parasitic diseases (A182),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A183,Infectious and parasitic diseases (A183),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A184,Infectious and parasitic diseases (A184),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A187,Infectious and parasitic diseases (A187),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A188,Infectious and parasitic diseases (A188),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A192,Infectious and parasitic diseases (A192),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A199,Infectious and parasitic diseases (A199),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A221,Infectious and parasitic diseases (A221),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A227,Infectious and parasitic diseases (A227),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A229,Infectious and parasitic diseases (A229),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A239,Infectious and parasitic diseases (A239),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A240,Infectious and parasitic diseases (A240),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A241,Infectious and parasitic diseases (A241),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A244,Infectious and parasitic diseases (A244),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A267,Infectious and parasitic diseases (A267),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A270,Infectious and parasitic diseases (A270),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A278,Infectious and parasitic diseases (A278),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A279,Infectious and parasitic diseases (A279),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A280,Infectious and parasitic diseases (A280),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A281,Infectious and parasitic diseases (A281),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A282,Infectious and parasitic diseases (A282),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A288,Infectious and parasitic diseases (A288),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A309,Infectious and parasitic diseases (A309),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A310,Infectious and parasitic diseases (A310),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A318,Infectious and parasitic diseases (A318),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A319,Infectious and parasitic diseases (A319),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A321,Infectious and parasitic diseases (A321),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A327,Infectious and parasitic diseases (A327),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A328,Infectious and parasitic diseases (A328),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-10 (2001-),A329,Infectious and parasitic diseases (A329),infectious_diseases,Infectious and Parasitic Diseases,medium
