code,description,source_file,icd_version
1260.0,"Gastritis, gastric catarrh",icd1.xls,ICD-1 (1901-1910)
1270.0,Other diseases of stomach (not malignant),icd1.xls,ICD-1 (1901-1910)
1280.0,Ulceration of intestines,icd1.xls,ICD-1 (1901-1910)
1290.0,Enteritis (not epidemic),icd1.xls,ICD-1 (1901-1910)
1300.0,Gastro-enteritis,icd1.xls,ICD-1 (1901-1910)
1310.0,"Appendicitis, perityphlitis",icd1.xls,ICD-1 (1901-1910)
1320.0,Hernia,icd1.xls,ICD-1 (1901-1910)
1330.0,Intestinal obstruction,icd1.xls,ICD-1 (1901-1910)
1340.0,Other diseases of intestines,icd1.xls,ICD-1 (1901-1910)
1350.0,Peritonitis (not puerperal),icd1.xls,ICD-1 (1901-1910)
1360.0,Cirrhosis of liver,icd1.xls,ICD-1 (1901-1910)
1370.0,Other diseases of liver and gall bladder,icd1.xls,ICD-1 (1901-1910)
1380.0,Other diseases of digestive system,icd1.xls,ICD-1 (1901-1910)
1390.0,Diseases of spleen,icd1.xls,ICD-1 (1901-1910)
1400.0,Other diseases of lymphatic system,icd1.xls,ICD-1 (1901-1910)
1410.0,Diseases of thyroid body,icd1.xls,ICD-1 (1901-1910)
1420.0,Diseases of supra renal capsules,icd1.xls,ICD-1 (1901-1910)
1430.0,"Acute nephritis, uraemia",icd1.xls,ICD-1 (1901-1910)
1440.0,"Chronic Bright's disease, albuminuria",icd1.xls,ICD-1 (1901-1910)
1450.0,Calculus (not biliary),icd1.xls,ICD-1 (1901-1910)
1460.0,Diseases of bladder and of prostate,icd1.xls,ICD-1 (1901-1910)
1470.0,Other diseases of urinary system,icd1.xls,ICD-1 (1901-1910)
1480.0,Ovarian tumour (not malignant),icd1.xls,ICD-1 (1901-1910)
1490.0,Other diseases of ovary,icd1.xls,ICD-1 (1901-1910)
1500.0,Uterine tumour (not malignant),icd1.xls,ICD-1 (1901-1910)
1510.0,Other diseases of uterus and vagina,icd1.xls,ICD-1 (1901-1910)
1520.0,Disorders of menstruation,icd1.xls,ICD-1 (1901-1910)
1530.0,Other diseases of generative and mammary organs,icd1.xls,ICD-1 (1901-1910)
1540.0,"Abortion, miscarriage",icd1.xls,ICD-1 (1901-1910)
1550.0,Puerperal mania,icd1.xls,ICD-1 (1901-1910)
1560.0,Puerperal convulsions,icd1.xls,ICD-1 (1901-1910)
1570.0,"Placenta praevia, flooding",icd1.xls,ICD-1 (1901-1910)
1580.0,Other accidents of pregnancy and childbirth,icd1.xls,ICD-1 (1901-1910)
1590.0,"Caries, necrosis",icd1.xls,ICD-1 (1901-1910)
1600.0,"Arthritis, periostitis",icd1.xls,ICD-1 (1901-1910)
1610.0,Other diseases of locomotor system,icd1.xls,ICD-1 (1901-1910)
1620.0,"Ulcer, bed-sore",icd1.xls,ICD-1 (1901-1910)
1630.0,Eczema,icd1.xls,ICD-1 (1901-1910)
1640.0,Pemphigus,icd1.xls,ICD-1 (1901-1910)
1650.0,Other diseases of the skin,icd1.xls,ICD-1 (1901-1910)
1660.0,"Atrophy, debility",icd1.xls,ICD-1 (1901-1910)
1670.0,Old age,icd1.xls,ICD-1 (1901-1910)
1680.0,"Dropsy, ascites, anasarca",icd1.xls,ICD-1 (1901-1910)
1690.0,Tumour,icd1.xls,ICD-1 (1901-1910)
1700.0,Abscess,icd1.xls,ICD-1 (1901-1910)
1710.0,Haemorrhage,icd1.xls,ICD-1 (1901-1910)
1720.0,Sudden death (cause unascertained),icd1.xls,ICD-1 (1901-1910)
1730.0,Other ill-defined causes,icd1.xls,ICD-1 (1901-1910)
1740.0,Causes not specified,icd1.xls,ICD-1 (1901-1910)
1741.0,Other specified diseases,icd1.xls,ICD-1 (1901-1910)
1750.0,Mines and quarries,icd1.xls,ICD-1 (1901-1910)
1760.0,Vehicles and horses,icd1.xls,ICD-1 (1901-1910)
1770.0,"Ships, boats, docks (not drowning)",icd1.xls,ICD-1 (1901-1910)
1780.0,Building operations,icd1.xls,ICD-1 (1901-1910)
1790.0,Machinery,icd1.xls,ICD-1 (1901-1910)
1800.0,Weapons and instruments,icd1.xls,ICD-1 (1901-1910)
1810.0,Burns and scalds,icd1.xls,ICD-1 (1901-1910)
1820.0,"Poisons, poisonous vapours",icd1.xls,ICD-1 (1901-1910)
1830.0,Drowning,icd1.xls,ICD-1 (1901-1910)
1840.0,Suffocation,icd1.xls,ICD-1 (1901-1910)
1850.0,Falls,icd1.xls,ICD-1 (1901-1910)
1860.0,Weather agencies,icd1.xls,ICD-1 (1901-1910)
1870.0,Otherwise or not stated,icd1.xls,ICD-1 (1901-1910)
1880.0,Battle,icd1.xls,ICD-1 (1901-1910)
1890.0,Homicide,icd1.xls,ICD-1 (1901-1910)
1900.0,Suicide,icd1.xls,ICD-1 (1901-1910)
1910.0,Execution,icd1.xls,ICD-1 (1901-1910)
1,Enteric fever,icd2.xls,ICD-2 (1911-1920)
2,Typhus,icd2.xls,ICD-2 (1911-1920)
3A,Relapsing fever,icd2.xls,ICD-2 (1911-1920)
3B,Mediterranean fever,icd2.xls,ICD-2 (1911-1920)
4,Malaria,icd2.xls,ICD-2 (1911-1920)
5,Small-pox,icd2.xls,ICD-2 (1911-1920)
6,Measles,icd2.xls,ICD-2 (1911-1920)
7,Scarlet fever,icd2.xls,ICD-2 (1911-1920)
8,Whooping cough,icd2.xls,ICD-2 (1911-1920)
9A,Diphtheria,icd2.xls,ICD-2 (1911-1920)
9B,Membranous laryngitis,icd2.xls,ICD-2 (1911-1920)
9C,Croup,icd2.xls,ICD-2 (1911-1920)
10,Influenza,icd2.xls,ICD-2 (1911-1920)
11,Miliary fever,icd2.xls,ICD-2 (1911-1920)
12,Asiatic cholera,icd2.xls,ICD-2 (1911-1920)
13,Cholera nostras,icd2.xls,ICD-2 (1911-1920)
14,Dysentery,icd2.xls,ICD-2 (1911-1920)
15,Plague,icd2.xls,ICD-2 (1911-1920)
16,Yellow fever,icd2.xls,ICD-2 (1911-1920)
17,Leprosy,icd2.xls,ICD-2 (1911-1920)
18,Erysipelas,icd2.xls,ICD-2 (1911-1920)
19A,Mumps,icd2.xls,ICD-2 (1911-1920)
19B,German measles,icd2.xls,ICD-2 (1911-1920)
19C,Varicella,icd2.xls,ICD-2 (1911-1920)
19D,Other epidemic diseases,icd2.xls,ICD-2 (1911-1920)
20A,Pyaemia,icd2.xls,ICD-2 (1911-1920)
20B,Septicaemia,icd2.xls,ICD-2 (1911-1920)
20C,Vaccinia,icd2.xls,ICD-2 (1911-1920)
21,Glanders,icd2.xls,ICD-2 (1911-1920)
22,Anthrax (Splenic fever),icd2.xls,ICD-2 (1911-1920)
23,Rabies,icd2.xls,ICD-2 (1911-1920)
24,Tetanus,icd2.xls,ICD-2 (1911-1920)
25A,Actinomycosis,icd2.xls,ICD-2 (1911-1920)
25B,Other mycoses,icd2.xls,ICD-2 (1911-1920)
26,Pellagra,icd2.xls,ICD-2 (1911-1920)
27,Beri-beri,icd2.xls,ICD-2 (1911-1920)
28A,Pulmonary tuberculosis,icd2.xls,ICD-2 (1911-1920)
28B,Phthisis (not def. as t.b.),icd2.xls,ICD-2 (1911-1920)
29A,Acute phthisis,icd2.xls,ICD-2 (1911-1920)
29B,Acute miliary t.b.,icd2.xls,ICD-2 (1911-1920)
30,Tuberculous meningitis,icd2.xls,ICD-2 (1911-1920)
31A,Tabes mesenterica,icd2.xls,ICD-2 (1911-1920)
31B,Other peritoneal & intestinal tubercle,icd2.xls,ICD-2 (1911-1920)
32,T.b. of spinal column,icd2.xls,ICD-2 (1911-1920)
33,T.b. of joints,icd2.xls,ICD-2 (1911-1920)
34A,Lupus,icd2.xls,ICD-2 (1911-1920)
34B,Scrofula,icd2.xls,ICD-2 (1911-1920)
34C,T.b. of other organs,icd2.xls,ICD-2 (1911-1920)
35,Disseminated t.b.,icd2.xls,ICD-2 (1911-1920)
36A,Rickets,icd2.xls,ICD-2 (1911-1920)
36B,Other forms of bone softening,icd2.xls,ICD-2 (1911-1920)
37,Syphilis,icd2.xls,ICD-2 (1911-1920)
38A,Soft chancre,icd2.xls,ICD-2 (1911-1920)
38B,Gonococcus infection,icd2.xls,ICD-2 (1911-1920)
38C,Purulent ophthalmia,icd2.xls,ICD-2 (1911-1920)
39,Cancer of buccal cavity,icd2.xls,ICD-2 (1911-1920)
40,"Cancer of stomach, liver, etc",icd2.xls,ICD-2 (1911-1920)
41,"Cancer of peritoneum, intestines & rectum",icd2.xls,ICD-2 (1911-1920)
42,Cancer of female genital organs,icd2.xls,ICD-2 (1911-1920)
43,Cancer of breast,icd2.xls,ICD-2 (1911-1920)
44,Cancer of skin,icd2.xls,ICD-2 (1911-1920)
45,Cancer of other or unspecified organs,icd2.xls,ICD-2 (1911-1920)
46A,Angioma,icd2.xls,ICD-2 (1911-1920)
46B,Adenoma,icd2.xls,ICD-2 (1911-1920)
46C,Other tumours (situation undefined),icd2.xls,ICD-2 (1911-1920)
47,Rheumatic fever,icd2.xls,ICD-2 (1911-1920)
48A,Chronic rheumatism,icd2.xls,ICD-2 (1911-1920)
48B,Osteo-arthritis,icd2.xls,ICD-2 (1911-1920)
48C,Gout,icd2.xls,ICD-2 (1911-1920)
49,Scurvy,icd2.xls,ICD-2 (1911-1920)
50,Diabetes,icd2.xls,ICD-2 (1911-1920)
51,Exophthalmic goitre,icd2.xls,ICD-2 (1911-1920)
52,Addison's disease,icd2.xls,ICD-2 (1911-1920)
53A,Leucocythaemia (Leuchaemia),icd2.xls,ICD-2 (1911-1920)
53B,Lymphadenoma,icd2.xls,ICD-2 (1911-1920)
54,"Anaemia, Chlorosis",icd2.xls,ICD-2 (1911-1920)
55A,Diabetes insipidus,icd2.xls,ICD-2 (1911-1920)
55B,Purpura,icd2.xls,ICD-2 (1911-1920)
55C,Haemophilia,icd2.xls,ICD-2 (1911-1920)
55D,Other general diseases,icd2.xls,ICD-2 (1911-1920)
56,Alcoholism (acute or chronic),icd2.xls,ICD-2 (1911-1920)
57A,Occupational lead poisoning,icd2.xls,ICD-2 (1911-1920)
57B,Non-occupational lead poisoning,icd2.xls,ICD-2 (1911-1920)
58,Other chronic occupational poisonings,icd2.xls,ICD-2 (1911-1920)
59,Other chronic poisonings,icd2.xls,ICD-2 (1911-1920)
60,Encephalitis,icd2.xls,ICD-2 (1911-1920)
61A,Cerebro-spinal fever,icd2.xls,ICD-2 (1911-1920)
61B,Posterior basal meningitis,icd2.xls,ICD-2 (1911-1920)
61C,"Meningitis, other forms",icd2.xls,ICD-2 (1911-1920)
62,Locomotor ataxy,icd2.xls,ICD-2 (1911-1920)
63A,"Diseases of the spinal cord formerly classed to ""Other nervous affections""",icd2.xls,ICD-2 (1911-1920)
63B,Poliomyelitis,icd2.xls,ICD-2 (1911-1920)
63C,Other diseases of the spinal cord,icd2.xls,ICD-2 (1911-1920)
64A,Apoplexy,icd2.xls,ICD-2 (1911-1920)
64B,Serious apoplexy & oedema of brain,icd2.xls,ICD-2 (1911-1920)
64C,Cerebral congestion,icd2.xls,ICD-2 (1911-1920)
64D,Cerebral atheroma,icd2.xls,ICD-2 (1911-1920)
64E,Cerebral haemorrhage,icd2.xls,ICD-2 (1911-1920)
65,Softening of brain,icd2.xls,ICD-2 (1911-1920)
66A,Hemiplegia,icd2.xls,ICD-2 (1911-1920)
66B,Paraplegia,icd2.xls,ICD-2 (1911-1920)
66C,Other forms of paralysis,icd2.xls,ICD-2 (1911-1920)
67,General paralysis of insane,icd2.xls,ICD-2 (1911-1920)
68,Other forms of mental alienation,icd2.xls,ICD-2 (1911-1920)
69,Epilepsy,icd2.xls,ICD-2 (1911-1920)
70A,Epileptiform convulsions (5yrs and over),icd2.xls,ICD-2 (1911-1920)
70B,Other convulsions (non-puerperal; 5yrs and over),icd2.xls,ICD-2 (1911-1920)
71A,Convulsions with teething,icd2.xls,ICD-2 (1911-1920)
71B,Other infantile convulsions (<5yrs.),icd2.xls,ICD-2 (1911-1920)
72,Chorea,icd2.xls,ICD-2 (1911-1920)
73A,"Hysteria, neuralgia, sciatica",icd2.xls,ICD-2 (1911-1920)
73B,Neuritis,icd2.xls,ICD-2 (1911-1920)
74A,"Idiocy, imbecility",icd2.xls,ICD-2 (1911-1920)
74B,Cretinism,icd2.xls,ICD-2 (1911-1920)
74C,Cerebral tumour,icd2.xls,ICD-2 (1911-1920)
74D,Other diseases of nervous system,icd2.xls,ICD-2 (1911-1920)
75,Diseases of eyes & annexa,icd2.xls,ICD-2 (1911-1920)
76A,Mastoid disease,icd2.xls,ICD-2 (1911-1920)
76B,Other diseases of ears,icd2.xls,ICD-2 (1911-1920)
77,Pericarditis,icd2.xls,ICD-2 (1911-1920)
78A,Acute myocarditis,icd2.xls,ICD-2 (1911-1920)
78B,Infective endocarditis,icd2.xls,ICD-2 (1911-1920)
78C,Other acute endocarditis,icd2.xls,ICD-2 (1911-1920)
79A,Valvular disease,icd2.xls,ICD-2 (1911-1920)
79B,Fatty degeneration of heart,icd2.xls,ICD-2 (1911-1920)
79C,Other organic disease of heart,icd2.xls,ICD-2 (1911-1920)
80,Angina pectoris,icd2.xls,ICD-2 (1911-1920)
81A,Aneurysm,icd2.xls,ICD-2 (1911-1920)
81B,Arterial sclerosis,icd2.xls,ICD-2 (1911-1920)
81C,Other diseases of arteries,icd2.xls,ICD-2 (1911-1920)
82A,Cerebral embolism and thrombosis,icd2.xls,ICD-2 (1911-1920)
82B,Other embolism & thrombosis,icd2.xls,ICD-2 (1911-1920)
83A,Phlebitis,icd2.xls,ICD-2 (1911-1920)
83B,Varix,icd2.xls,ICD-2 (1911-1920)
83C,Pylephlebitis,icd2.xls,ICD-2 (1911-1920)
83D,Variocele,icd2.xls,ICD-2 (1911-1920)
84A,Status lymphaticus,icd2.xls,ICD-2 (1911-1920)
84B,Other diseases of lymphatic system,icd2.xls,ICD-2 (1911-1920)
85A,Functional disease of heart,icd2.xls,ICD-2 (1911-1920)
85B,Epistaxis,icd2.xls,ICD-2 (1911-1920)
85C,Other diseases of circulatory system,icd2.xls,ICD-2 (1911-1920)
86,Diseases of the nasal fossae,icd2.xls,ICD-2 (1911-1920)
87A,Laryngismus stridulus,icd2.xls,ICD-2 (1911-1920)
87B,Laryngitis,icd2.xls,ICD-2 (1911-1920)
87C,Other diseases of larynx,icd2.xls,ICD-2 (1911-1920)
88,Diseases of thyroid body,icd2.xls,ICD-2 (1911-1920)
89&90A,"Bronchiectasis, bronchial catarrh, etc.",icd2.xls,ICD-2 (1911-1920)
89&90B,Other bronchitis,icd2.xls,ICD-2 (1911-1920)
91,Broncho-pneumonia,icd2.xls,ICD-2 (1911-1920)
92A,Lobar pneumonia,icd2.xls,ICD-2 (1911-1920)
92B,Pneumonia (type not stated),icd2.xls,ICD-2 (1911-1920)
93A,Empyema,icd2.xls,ICD-2 (1911-1920)
93B,Other pleurisy,icd2.xls,ICD-2 (1911-1920)
94A,Pulmonary apoplexy & infarction,icd2.xls,ICD-2 (1911-1920)
94B,Pulmonary oedema & congestion,icd2.xls,ICD-2 (1911-1920)
94C,Hypostatic pneumonia,icd2.xls,ICD-2 (1911-1920)
94D,Collapse of lung (> 3 mths.),icd2.xls,ICD-2 (1911-1920)
95,Gangrene of lung,icd2.xls,ICD-2 (1911-1920)
96,Asthma,icd2.xls,ICD-2 (1911-1920)
97,Pulmonary emphysema,icd2.xls,ICD-2 (1911-1920)
98A,Fibroid disease of lung,icd2.xls,ICD-2 (1911-1920)
98B,Other diseases of respiratory system,icd2.xls,ICD-2 (1911-1920)
99A,Diseases of teeth & gums,icd2.xls,ICD-2 (1911-1920)
99B,"Thrush, Aphthous stomatitis",icd2.xls,ICD-2 (1911-1920)
99C,Parotitis,icd2.xls,ICD-2 (1911-1920)
99D,Other diseases of mouth & annexa,icd2.xls,ICD-2 (1911-1920)
100A,Tonsillitis,icd2.xls,ICD-2 (1911-1920)
100B,Ludwig's angina,icd2.xls,ICD-2 (1911-1920)
100C,Other diseases of pharynx,icd2.xls,ICD-2 (1911-1920)
101,Diseases of oesophagus,icd2.xls,ICD-2 (1911-1920)
102,Perforating ulcer of stomach,icd2.xls,ICD-2 (1911-1920)
103A,Inflammation of stomach,icd2.xls,ICD-2 (1911-1920)
103B,Other diseases of stomach,icd2.xls,ICD-2 (1911-1920)
104A,Infective enteritis,icd2.xls,ICD-2 (1911-1920)
104B,Diarrhoea - not returned as infective - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
104C,Enteritis - not returned as infective - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
104D,Gastro-enteritis - not returned as infective - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
104E,Dyspepsia - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
104F,Colic - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
104G,Ulceration of intestines - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
104H,Duodenal ulcer - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
105A,Infective enteritis - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
105B,Diarrhoea - not returned as infective - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
105C,Enteritis - not returned as infective - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
105D,Gastro-enteritis - not returned as infective - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
105E,Dyspepsia - under 2yrs old,icd2.xls,ICD-2 (1911-1920)
105F,Colic - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
105G,Ulceration of intestines - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
105H,Duodenal ulcer - over 2yrs old,icd2.xls,ICD-2 (1911-1920)
106,Ankylostomiasis,icd2.xls,ICD-2 (1911-1920)
107,Other intestinal parasites,icd2.xls,ICD-2 (1911-1920)
108,Appendicitis,icd2.xls,ICD-2 (1911-1920)
109A,Hernia,icd2.xls,ICD-2 (1911-1920)
109B,Intestinal obstruction,icd2.xls,ICD-2 (1911-1920)
110,Other diseases of intestines,icd2.xls,ICD-2 (1911-1920)
111,Acute yellow atrophy of liver,icd2.xls,ICD-2 (1911-1920)
112,Hydatid of liver,icd2.xls,ICD-2 (1911-1920)
113A,Cirrhosis of liver (not alcoholic),icd2.xls,ICD-2 (1911-1920)
113B,Cirrhosis of liver (alcoholic),icd2.xls,ICD-2 (1911-1920)
113C,"Diseases formerly classed to ""Other diseases of liver & gall bladder""",icd2.xls,ICD-2 (1911-1920)
114,Biliary calculi,icd2.xls,ICD-2 (1911-1920)
115,Other diseases of liver,icd2.xls,ICD-2 (1911-1920)
116A,Infarction of spleen,icd2.xls,ICD-2 (1911-1920)
116B,Other diseases of spleen,icd2.xls,ICD-2 (1911-1920)
117,Peritonitis (cause unstated),icd2.xls,ICD-2 (1911-1920)
118A,"Abdominal abscess, sub phrenic abscess",icd2.xls,ICD-2 (1911-1920)
