code,icd_version,original_description,harmonized_category,harmonized_category_name,classification_confidence
970.0,ICD-1 (1901-1910),"Epistaxis, diseases of nose",other,Other and Unclassified,low
980.0,ICD-1 (1901-1910),"Ophthalmia, eye diseases",eye_ear,Diseases of Eye and Ear,medium
990.0,ICD-1 (1901-1910),"Valvular disease, endocarditis (not infective)",circulatory,Diseases of the Circulatory System,medium
1000.0,ICD-1 (1901-1910),Pericarditis,circulatory,Diseases of the Circulatory System,medium
1010.0,ICD-1 (1901-1910),Angina pectoris,circulatory,Diseases of the Circulatory System,medium
1020.0,ICD-1 (1901-1910),Fatty degeneration of heart,eye_ear,Diseases of Eye and Ear,medium
1030.0,ICD-1 (1901-1910),Hypertrophy of heart,eye_ear,Diseases of Eye and Ear,medium
1040.0,ICD-1 (1901-1910),Dilation of heart,eye_ear,Diseases of Eye and Ear,medium
1050.0,ICD-1 (1901-1910),"Syncope, heart disease (not spec.)",eye_ear,Diseases of Eye and Ear,medium
1060.0,ICD-1 (1901-1910),"Cerebral haemorrhage, cerebral embolism",circulatory,Diseases of the Circulatory System,high
1070.0,ICD-1 (1901-1910),"Apoplexy, hemiplegia",nervous_system,Diseases of the Nervous System,high
1080.0,ICD-1 (1901-1910),Aneurysm,circulatory,Diseases of the Circulatory System,medium
1090.0,ICD-1 (1901-1910),Senile gangrene,circulatory,Diseases of the Circulatory System,medium
1100.0,ICD-1 (1901-1910),"Embolism, thrombosis (not cerebral)",circulatory,Diseases of the Circulatory System,high
1110.0,ICD-1 (1901-1910),Phlebitis,circulatory,Diseases of the Circulatory System,medium
1120.0,ICD-1 (1901-1910),Varicose veins,circulatory,Diseases of the Circulatory System,medium
1130.0,ICD-1 (1901-1910),Other diseases of blood vessels,other,Other and Unclassified,low
1140.0,ICD-1 (1901-1910),Laryngitis,respiratory,Diseases of the Respiratory System,medium
1150.0,ICD-1 (1901-1910),Membranous laryngitis (not diphtheritic),respiratory,Diseases of the Respiratory System,medium
1160.0,ICD-1 (1901-1910),Croup (not spasmodic nor membranous),respiratory,Diseases of the Respiratory System,medium
1170.0,ICD-1 (1901-1910),Other diseases of larynx and trachea,respiratory,Diseases of the Respiratory System,medium
1180.0,ICD-1 (1901-1910),Bronchitis,respiratory,Diseases of the Respiratory System,medium
1190.0,ICD-1 (1901-1910),"Emphysema, asthma",respiratory,Diseases of the Respiratory System,high
1200.0,ICD-1 (1901-1910),Pleurisy,respiratory,Diseases of the Respiratory System,medium
1210.0,ICD-1 (1901-1910),Fibroid disease of lung,respiratory,Diseases of the Respiratory System,medium
1220.0,ICD-1 (1901-1910),Other diseases of respiratory system,respiratory,Diseases of the Respiratory System,medium
1230.0,ICD-1 (1901-1910),"Tonsillitis, quinsy",respiratory,Diseases of the Respiratory System,medium
1240.0,ICD-1 (1901-1910),"Diseases of mouth, pharynx, oesophagus (not spec.)",digestive,Diseases of the Digestive System,high
1250.0,ICD-1 (1901-1910),Gastric ulcer,digestive,Diseases of the Digestive System,high
1260.0,ICD-1 (1901-1910),"Gastritis, gastric catarrh",digestive,Diseases of the Digestive System,high
1270.0,ICD-1 (1901-1910),Other diseases of stomach (not malignant),neoplasms,Neoplasms (Cancers and Tumors),medium
1280.0,ICD-1 (1901-1910),Ulceration of intestines,digestive,Diseases of the Digestive System,high
1290.0,ICD-1 (1901-1910),Enteritis (not epidemic),infectious_diseases,Infectious and Parasitic Diseases,high
1300.0,ICD-1 (1901-1910),Gastro-enteritis,infectious_diseases,Infectious and Parasitic Diseases,medium
1310.0,ICD-1 (1901-1910),"Appendicitis, perityphlitis",digestive,Diseases of the Digestive System,medium
1320.0,ICD-1 (1901-1910),Hernia,digestive,Diseases of the Digestive System,medium
1330.0,ICD-1 (1901-1910),Intestinal obstruction,digestive,Diseases of the Digestive System,medium
1340.0,ICD-1 (1901-1910),Other diseases of intestines,digestive,Diseases of the Digestive System,medium
1350.0,ICD-1 (1901-1910),Peritonitis (not puerperal),digestive,Diseases of the Digestive System,medium
1360.0,ICD-1 (1901-1910),Cirrhosis of liver,digestive,Diseases of the Digestive System,high
1370.0,ICD-1 (1901-1910),Other diseases of liver and gall bladder,digestive,Diseases of the Digestive System,medium
1380.0,ICD-1 (1901-1910),Other diseases of digestive system,digestive,Diseases of the Digestive System,medium
1390.0,ICD-1 (1901-1910),Diseases of spleen,other,Other and Unclassified,low
1400.0,ICD-1 (1901-1910),Other diseases of lymphatic system,other,Other and Unclassified,low
1410.0,ICD-1 (1901-1910),Diseases of thyroid body,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
1420.0,ICD-1 (1901-1910),Diseases of supra renal capsules,genitourinary,Diseases of the Genitourinary System,medium
1430.0,ICD-1 (1901-1910),"Acute nephritis, uraemia",genitourinary,Diseases of the Genitourinary System,medium
1440.0,ICD-1 (1901-1910),"Chronic Bright's disease, albuminuria",other,Other and Unclassified,low
1450.0,ICD-1 (1901-1910),Calculus (not biliary),other,Other and Unclassified,low
1460.0,ICD-1 (1901-1910),Diseases of bladder and of prostate,genitourinary,Diseases of the Genitourinary System,high
1470.0,ICD-1 (1901-1910),Other diseases of urinary system,genitourinary,Diseases of the Genitourinary System,medium
1480.0,ICD-1 (1901-1910),Ovarian tumour (not malignant),neoplasms,Neoplasms (Cancers and Tumors),high
1490.0,ICD-1 (1901-1910),Other diseases of ovary,genitourinary,Diseases of the Genitourinary System,medium
1500.0,ICD-1 (1901-1910),Uterine tumour (not malignant),neoplasms,Neoplasms (Cancers and Tumors),high
1510.0,ICD-1 (1901-1910),Other diseases of uterus and vagina,genitourinary,Diseases of the Genitourinary System,high
1520.0,ICD-1 (1901-1910),Disorders of menstruation,other,Other and Unclassified,low
1530.0,ICD-1 (1901-1910),Other diseases of generative and mammary organs,other,Other and Unclassified,low
1540.0,ICD-1 (1901-1910),"Abortion, miscarriage",pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",high
1550.0,ICD-1 (1901-1910),Puerperal mania,mental_behavioral,Mental and Behavioral Disorders,medium
1560.0,ICD-1 (1901-1910),Puerperal convulsions,nervous_system,Diseases of the Nervous System,medium
1570.0,ICD-1 (1901-1910),"Placenta praevia, flooding",pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",medium
1580.0,ICD-1 (1901-1910),Other accidents of pregnancy and childbirth,pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",high
1590.0,ICD-1 (1901-1910),"Caries, necrosis",other,Other and Unclassified,low
1600.0,ICD-1 (1901-1910),"Arthritis, periostitis",musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
1610.0,ICD-1 (1901-1910),Other diseases of locomotor system,other,Other and Unclassified,low
1620.0,ICD-1 (1901-1910),"Ulcer, bed-sore",digestive,Diseases of the Digestive System,medium
1630.0,ICD-1 (1901-1910),Eczema,skin,Diseases of the Skin,medium
1640.0,ICD-1 (1901-1910),Pemphigus,blood_immune,Blood and Immune System Disorders,medium
1650.0,ICD-1 (1901-1910),Other diseases of the skin,skin,Diseases of the Skin,medium
1660.0,ICD-1 (1901-1910),"Atrophy, debility",ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
1670.0,ICD-1 (1901-1910),Old age,ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
1680.0,ICD-1 (1901-1910),"Dropsy, ascites, anasarca",other,Other and Unclassified,low
1690.0,ICD-1 (1901-1910),Tumour,neoplasms,Neoplasms (Cancers and Tumors),medium
1700.0,ICD-1 (1901-1910),Abscess,skin,Diseases of the Skin,medium
1710.0,ICD-1 (1901-1910),Haemorrhage,circulatory,Diseases of the Circulatory System,medium
1720.0,ICD-1 (1901-1910),Sudden death (cause unascertained),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
1730.0,ICD-1 (1901-1910),Other ill-defined causes,ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
1740.0,ICD-1 (1901-1910),Causes not specified,other,Other and Unclassified,low
1741.0,ICD-1 (1901-1910),Other specified diseases,other,Other and Unclassified,low
1750.0,ICD-1 (1901-1910),Mines and quarries,other,Other and Unclassified,low
1760.0,ICD-1 (1901-1910),Vehicles and horses,other,Other and Unclassified,low
1770.0,ICD-1 (1901-1910),"Ships, boats, docks (not drowning)",injury_poisoning,"Injury, Poisoning and External Causes",medium
1780.0,ICD-1 (1901-1910),Building operations,other,Other and Unclassified,low
1790.0,ICD-1 (1901-1910),Machinery,other,Other and Unclassified,low
1800.0,ICD-1 (1901-1910),Weapons and instruments,Homicide,Homicide and Assault,medium
1810.0,ICD-1 (1901-1910),Burns and scalds,injury_poisoning,"Injury, Poisoning and External Causes",medium
1820.0,ICD-1 (1901-1910),"Poisons, poisonous vapours",injury_poisoning,"Injury, Poisoning and External Causes",medium
1830.0,ICD-1 (1901-1910),Drowning,injury_poisoning,"Injury, Poisoning and External Causes",medium
1840.0,ICD-1 (1901-1910),Suffocation,injury_poisoning,"Injury, Poisoning and External Causes",medium
1850.0,ICD-1 (1901-1910),Falls,injury_poisoning,"Injury, Poisoning and External Causes",medium
1860.0,ICD-1 (1901-1910),Weather agencies,other,Other and Unclassified,low
1870.0,ICD-1 (1901-1910),Otherwise or not stated,other,Other and Unclassified,low
1880.0,ICD-1 (1901-1910),Battle,War,War and War-Related Deaths,medium
1890.0,ICD-1 (1901-1910),Homicide,Homicide,Homicide and Assault,medium
1900.0,ICD-1 (1901-1910),Suicide,Suicide,Suicide and Self-Inflicted Injury,medium
1910.0,ICD-1 (1901-1910),Execution,other,Other and Unclassified,low
1,ICD-2 (1911-1920),Enteric fever,infectious_diseases,Infectious and Parasitic Diseases,medium
2,ICD-2 (1911-1920),Typhus,infectious_diseases,Infectious and Parasitic Diseases,medium
3A,ICD-2 (1911-1920),Relapsing fever,infectious_diseases,Infectious and Parasitic Diseases,medium
3B,ICD-2 (1911-1920),Mediterranean fever,infectious_diseases,Infectious and Parasitic Diseases,medium
4,ICD-2 (1911-1920),Malaria,infectious_diseases,Infectious and Parasitic Diseases,medium
5,ICD-2 (1911-1920),Small-pox,infectious_diseases,Infectious and Parasitic Diseases,medium
6,ICD-2 (1911-1920),Measles,infectious_diseases,Infectious and Parasitic Diseases,medium
7,ICD-2 (1911-1920),Scarlet fever,infectious_diseases,Infectious and Parasitic Diseases,high
8,ICD-2 (1911-1920),Whooping cough,infectious_diseases,Infectious and Parasitic Diseases,medium
9A,ICD-2 (1911-1920),Diphtheria,infectious_diseases,Infectious and Parasitic Diseases,medium
9B,ICD-2 (1911-1920),Membranous laryngitis,respiratory,Diseases of the Respiratory System,medium
9C,ICD-2 (1911-1920),Croup,respiratory,Diseases of the Respiratory System,medium
10,ICD-2 (1911-1920),Influenza,infectious_diseases,Infectious and Parasitic Diseases,medium
11,ICD-2 (1911-1920),Miliary fever,infectious_diseases,Infectious and Parasitic Diseases,medium
12,ICD-2 (1911-1920),Asiatic cholera,infectious_diseases,Infectious and Parasitic Diseases,medium
13,ICD-2 (1911-1920),Cholera nostras,infectious_diseases,Infectious and Parasitic Diseases,medium
14,ICD-2 (1911-1920),Dysentery,infectious_diseases,Infectious and Parasitic Diseases,medium
15,ICD-2 (1911-1920),Plague,infectious_diseases,Infectious and Parasitic Diseases,medium
16,ICD-2 (1911-1920),Yellow fever,infectious_diseases,Infectious and Parasitic Diseases,medium
17,ICD-2 (1911-1920),Leprosy,infectious_diseases,Infectious and Parasitic Diseases,medium
18,ICD-2 (1911-1920),Erysipelas,skin,Diseases of the Skin,medium
19A,ICD-2 (1911-1920),Mumps,infectious_diseases,Infectious and Parasitic Diseases,medium
19B,ICD-2 (1911-1920),German measles,infectious_diseases,Infectious and Parasitic Diseases,medium
19C,ICD-2 (1911-1920),Varicella,infectious_diseases,Infectious and Parasitic Diseases,medium
19D,ICD-2 (1911-1920),Other epidemic diseases,infectious_diseases,Infectious and Parasitic Diseases,medium
20A,ICD-2 (1911-1920),Pyaemia,other,Other and Unclassified,low
20B,ICD-2 (1911-1920),Septicaemia,infectious_diseases,Infectious and Parasitic Diseases,medium
20C,ICD-2 (1911-1920),Vaccinia,other,Other and Unclassified,low
21,ICD-2 (1911-1920),Glanders,infectious_diseases,Infectious and Parasitic Diseases,medium
22,ICD-2 (1911-1920),Anthrax (Splenic fever),infectious_diseases,Infectious and Parasitic Diseases,high
23,ICD-2 (1911-1920),Rabies,infectious_diseases,Infectious and Parasitic Diseases,medium
24,ICD-2 (1911-1920),Tetanus,infectious_diseases,Infectious and Parasitic Diseases,medium
25A,ICD-2 (1911-1920),Actinomycosis,other,Other and Unclassified,low
25B,ICD-2 (1911-1920),Other mycoses,other,Other and Unclassified,low
26,ICD-2 (1911-1920),Pellagra,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
27,ICD-2 (1911-1920),Beri-beri,nervous_system,Diseases of the Nervous System,medium
28A,ICD-2 (1911-1920),Pulmonary tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
28B,ICD-2 (1911-1920),Phthisis (not def. as t.b.),other,Other and Unclassified,low
29A,ICD-2 (1911-1920),Acute phthisis,other,Other and Unclassified,low
29B,ICD-2 (1911-1920),Acute miliary t.b.,other,Other and Unclassified,low
30,ICD-2 (1911-1920),Tuberculous meningitis,infectious_diseases,Infectious and Parasitic Diseases,medium
31A,ICD-2 (1911-1920),Tabes mesenterica,other,Other and Unclassified,low
31B,ICD-2 (1911-1920),Other peritoneal & intestinal tubercle,digestive,Diseases of the Digestive System,medium
32,ICD-2 (1911-1920),T.b. of spinal column,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
33,ICD-2 (1911-1920),T.b. of joints,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
34A,ICD-2 (1911-1920),Lupus,other,Other and Unclassified,low
34B,ICD-2 (1911-1920),Scrofula,other,Other and Unclassified,low
34C,ICD-2 (1911-1920),T.b. of other organs,other,Other and Unclassified,low
35,ICD-2 (1911-1920),Disseminated t.b.,other,Other and Unclassified,low
36A,ICD-2 (1911-1920),Rickets,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
36B,ICD-2 (1911-1920),Other forms of bone softening,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
37,ICD-2 (1911-1920),Syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
38A,ICD-2 (1911-1920),Soft chancre,genitourinary,Diseases of the Genitourinary System,medium
38B,ICD-2 (1911-1920),Gonococcus infection,infectious_diseases,Infectious and Parasitic Diseases,medium
38C,ICD-2 (1911-1920),Purulent ophthalmia,other,Other and Unclassified,low
39,ICD-2 (1911-1920),Cancer of buccal cavity,neoplasms,Neoplasms (Cancers and Tumors),medium
40,ICD-2 (1911-1920),"Cancer of stomach, liver, etc",digestive,Diseases of the Digestive System,high
41,ICD-2 (1911-1920),"Cancer of peritoneum, intestines & rectum",digestive,Diseases of the Digestive System,high
42,ICD-2 (1911-1920),Cancer of female genital organs,neoplasms,Neoplasms (Cancers and Tumors),medium
43,ICD-2 (1911-1920),Cancer of breast,neoplasms,Neoplasms (Cancers and Tumors),medium
44,ICD-2 (1911-1920),Cancer of skin,neoplasms,Neoplasms (Cancers and Tumors),medium
45,ICD-2 (1911-1920),Cancer of other or unspecified organs,neoplasms,Neoplasms (Cancers and Tumors),medium
46A,ICD-2 (1911-1920),Angioma,other,Other and Unclassified,low
46B,ICD-2 (1911-1920),Adenoma,neoplasms,Neoplasms (Cancers and Tumors),medium
46C,ICD-2 (1911-1920),Other tumours (situation undefined),neoplasms,Neoplasms (Cancers and Tumors),medium
47,ICD-2 (1911-1920),Rheumatic fever,infectious_diseases,Infectious and Parasitic Diseases,medium
48A,ICD-2 (1911-1920),Chronic rheumatism,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
48B,ICD-2 (1911-1920),Osteo-arthritis,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,high
48C,ICD-2 (1911-1920),Gout,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
49,ICD-2 (1911-1920),Scurvy,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
50,ICD-2 (1911-1920),Diabetes,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
51,ICD-2 (1911-1920),Exophthalmic goitre,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
52,ICD-2 (1911-1920),Addison's disease,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
53A,ICD-2 (1911-1920),Leucocythaemia (Leuchaemia),other,Other and Unclassified,low
53B,ICD-2 (1911-1920),Lymphadenoma,neoplasms,Neoplasms (Cancers and Tumors),medium
54,ICD-2 (1911-1920),"Anaemia, Chlorosis",blood_immune,Blood and Immune System Disorders,medium
55A,ICD-2 (1911-1920),Diabetes insipidus,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
55B,ICD-2 (1911-1920),Purpura,blood_immune,Blood and Immune System Disorders,medium
55C,ICD-2 (1911-1920),Haemophilia,blood_immune,Blood and Immune System Disorders,medium
55D,ICD-2 (1911-1920),Other general diseases,other,Other and Unclassified,low
56,ICD-2 (1911-1920),Alcoholism (acute or chronic),Legal Drugs,Legal Drug-Related Deaths,high
57A,ICD-2 (1911-1920),Occupational lead poisoning,injury_poisoning,"Injury, Poisoning and External Causes",medium
57B,ICD-2 (1911-1920),Non-occupational lead poisoning,injury_poisoning,"Injury, Poisoning and External Causes",medium
58,ICD-2 (1911-1920),Other chronic occupational poisonings,injury_poisoning,"Injury, Poisoning and External Causes",medium
59,ICD-2 (1911-1920),Other chronic poisonings,injury_poisoning,"Injury, Poisoning and External Causes",medium
60,ICD-2 (1911-1920),Encephalitis,infectious_diseases,Infectious and Parasitic Diseases,medium
61A,ICD-2 (1911-1920),Cerebro-spinal fever,infectious_diseases,Infectious and Parasitic Diseases,medium
61B,ICD-2 (1911-1920),Posterior basal meningitis,infectious_diseases,Infectious and Parasitic Diseases,medium
