year,sex,age_group,deaths,population_age_group,mortality_rate_per_100k_age_group_population,mortality_rate_per_100k,denominator_label
1903,Female,75-84,27200,237100,11471.952762547447,11471.952762547447,age group population
1903,Male,75-84,22475,169300,13275.251033668044,13275.251033668044,age group population
1903,Female,85+,7685,32900,23358.662613981764,23358.662613981764,age group population
1903,Male,85+,4946,19000,26031.578947368424,26031.578947368424,age group population
1904,Female,0-4,91458,1884400,4853.428146890256,4853.428146890256,age group population
1904,Male,0-4,108220,1885800,5738.6785449146255,5738.6785449146255,age group population
1904,Female,5-14,10199,3485800,292.58706753112625,292.58706753112625,age group population
1904,Male,5-14,9849,3477500,283.2207045291157,283.2207045291157,age group population
1904,Female,15-24,10749,3317300,324.0285774575709,324.0285774575709,age group population
1904,Male,15-24,11529,3112900,370.3620418259501,370.3620418259501,age group population
1904,Female,25-34,14112,2889100,488.45661278598874,488.45661278598874,age group population
1904,Male,25-34,14862,2601500,571.2857966557755,571.2857966557755,age group population
1904,Female,35-44,17125,2209800,774.9570096841343,774.9570096841343,age group population
1904,Male,35-44,19329,2064500,936.2557519980625,936.2557519980625,age group population
1904,Female,45-54,20603,1613300,1277.0718403272795,1277.0718403272795,age group population
1904,Male,45-54,24713,1493800,1654.3714017940824,1654.3714017940824,age group population
1904,Female,55-64,27982,1094100,2557.5358742345306,2557.5358742345306,age group population
1904,Male,55-64,31165,966200,3225.522666114676,3225.522666114676,age group population
1904,Female,65-74,35837,649900,5514.232958916757,5514.232958916757,age group population
1904,Male,65-74,33959,518500,6549.46962391514,6549.46962391514,age group population
1904,Female,75-84,29805,241900,12321.207110376188,12321.207110376188,age group population
1904,Male,75-84,23967,171500,13974.927113702623,13974.927113702623,age group population
1904,Female,85+,8708,34000,25611.76470588235,25611.76470588235,age group population
1904,Male,85+,5613,19500,28784.615384615387,28784.615384615387,age group population
1905,Female,0-4,79348,1884900,4209.666295294181,4209.666295294181,age group population
1905,Male,0-4,94910,1888600,5025.415651805571,5025.415651805571,age group population
1905,Female,5-14,9972,3494300,285.37904587471024,285.37904587471024,age group population
1905,Male,5-14,9683,3486300,277.7443134555259,277.7443134555259,age group population
1905,Female,15-24,10703,3314900,322.87550152342453,322.87550152342453,age group population
1905,Male,15-24,11222,3112100,360.59252594710966,360.59252594710966,age group population
1905,Female,25-34,13930,2916200,477.6764282285166,477.6764282285166,age group population
1905,Male,25-34,14658,2628500,557.6564580559254,557.6564580559254,age group population
1905,Female,35-44,16890,2247700,751.434800017796,751.434800017796,age group population
1905,Male,35-44,18986,2098800,904.6121593291405,904.6121593291405,age group population
1905,Female,45-54,20569,1641200,1253.290275408238,1253.290275408238,age group population
1905,Male,45-54,24441,1519200,1608.8072669826224,1608.8072669826224,age group population
1905,Female,55-64,27545,1108700,2484.441237485343,2484.441237485343,age group population
1905,Male,55-64,30908,981000,3150.662589194699,3150.662589194699,age group population
1905,Female,65-74,35722,663900,5380.629612893508,5380.629612893508,age group population
1905,Male,65-74,33516,529400,6330.9406875708355,6330.9406875708355,age group population
1905,Female,75-84,28772,245400,11724.531377343113,11724.531377343113,age group population
1905,Male,75-84,23731,172900,13725.274725274725,13725.274725274725,age group population
1905,Female,85+,8979,35000,25654.285714285714,25654.285714285714,age group population
1905,Male,85+,5546,19900,27869.346733668342,27869.346733668342,age group population
1906,Female,0-4,81503,1890500,4311.187516530018,4311.187516530018,age group population
1906,Male,0-4,97178,1896700,5123.530342173249,5123.530342173249,age group population
1906,Female,5-14,10508,3512500,299.16014234875445,299.16014234875445,age group population
1906,Male,5-14,9748,3504700,278.1407823779496,278.1407823779496,age group population
1906,Female,15-24,10512,3321700,316.46446096878105,316.46446096878105,age group population
1906,Male,15-24,11300,3119800,362.2027053016219,362.2027053016219,age group population
1906,Female,25-34,13918,2951500,471.55683550736916,471.55683550736916,age group population
1906,Male,25-34,14766,2663000,554.4874202027788,554.4874202027788,age group population
1906,Female,35-44,17087,2292100,745.4735831769992,745.4735831769992,age group population
1906,Male,35-44,19431,2139100,908.372680099107,908.372680099107,age group population
1906,Female,45-54,20761,1673900,1240.2771969651712,1240.2771969651712,age group population
1906,Male,45-54,24870,1548900,1605.6556265736974,1605.6556265736974,age group population
1906,Female,55-64,27884,1126400,2475.497159090909,2475.497159090909,age group population
1906,Male,55-64,31998,998700,3203.9651547011113,3203.9651547011113,age group population
1906,Female,65-74,35680,679800,5248.602530155928,5248.602530155928,age group population
1906,Male,65-74,34845,541800,6431.339977851607,6431.339977851607,age group population
1906,Female,75-84,29867,249600,11965.945512820512,11965.945512820512,age group population
1906,Male,75-84,24004,174800,13732.265446224257,13732.265446224257,age group population
1906,Female,85+,9328,36100,25839.3351800554,25839.3351800554,age group population
1906,Male,85+,6093,20400,29867.64705882353,29867.64705882353,age group population
1907,Female,0-4,74111,1896200,3908.3957388461135,3908.3957388461135,age group population
1907,Male,0-4,89142,1904800,4679.861402771945,4679.861402771945,age group population
1907,Female,5-14,10011,3530900,283.52544676994535,283.52544676994535,age group population
1907,Male,5-14,9666,3523400,274.337287846966,274.337287846966,age group population
1907,Female,15-24,10429,3328500,313.32432026438335,313.32432026438335,age group population
1907,Male,15-24,10967,3127600,350.65225732190817,350.65225732190817,age group population
1907,Female,25-34,13760,2987300,460.6166103170086,460.6166103170086,age group population
1907,Male,25-34,14855,2697800,550.6338498035436,550.6338498035436,age group population
1907,Female,35-44,17378,2337000,743.6029097133077,743.6029097133077,age group population
1907,Male,35-44,19654,2179900,901.6009908711409,901.6009908711409,age group population
1907,Female,45-54,21138,1707000,1238.3128295254833,1238.3128295254833,age group population
1907,Male,45-54,25368,1578900,1606.6882006460194,1606.6882006460194,age group population
1907,Female,55-64,29000,1144300,2534.30044568732,2534.30044568732,age group population
1907,Male,55-64,32819,1016500,3228.6276438760456,3228.6276438760456,age group population
1907,Female,65-74,38370,695900,5513.723236097141,5513.723236097141,age group population
1907,Male,65-74,36174,554400,6524.891774891775,6524.891774891775,age group population
1907,Female,75-84,31132,253900,12261.52028357621,12261.52028357621,age group population
1907,Male,75-84,24520,176700,13876.627051499718,13876.627051499718,age group population
1907,Female,85+,9633,37100,25964.959568733153,25964.959568733153,age group population
1907,Male,85+,6094,20900,29157.894736842103,29157.894736842103,age group population
1908,Female,0-4,74385,1907200,3900.2202181208054,3900.2202181208054,age group population
1908,Male,0-4,89934,1918300,4688.213522389616,4688.213522389616,age group population
1908,Female,5-14,9728,3559200,273.3198471566644,273.3198471566644,age group population
1908,Male,5-14,9446,3551900,265.9421717953771,265.9421717953771,age group population
1908,Female,15-24,10165,3344600,303.9227411349638,303.9227411349638,age group population
1908,Male,15-24,10807,3144100,343.72316402150057,343.72316402150057,age group population
1908,Female,25-34,13488,3031600,444.9135769890487,444.9135769890487,age group population
1908,Male,25-34,14566,2740500,531.508848750228,531.508848750228,age group population
1908,Female,35-44,16588,2388800,694.4072337575351,694.4072337575351,age group population
1908,Male,35-44,19216,2227100,862.8260967177047,862.8260967177047,age group population
1908,Female,45-54,21094,1745100,1208.7559452180392,1208.7559452180392,age group population
1908,Male,45-54,24899,1613700,1542.975769969635,1542.975769969635,age group population
1908,Female,55-64,28184,1165600,2417.9821551132463,2417.9821551132463,age group population
1908,Male,55-64,32576,1037400,3140.158087526509,3140.158087526509,age group population
1908,Female,65-74,37657,714000,5274.089635854342,5274.089635854342,age group population
1908,Male,65-74,36545,568700,6426.059433796378,6426.059433796378,age group population
1908,Female,75-84,30913,258900,11940.131324835844,11940.131324835844,age group population
1908,Male,75-84,24784,179000,13845.810055865923,13845.810055865923,age group population
1908,Female,85+,9540,38300,24908.61618798956,24908.61618798956,age group population
1908,Male,85+,5941,21400,27761.682242990653,27761.682242990653,age group population
1909,Female,0-4,68104,1907900,3569.579118402432,3569.579118402432,age group population
1909,Male,0-4,82160,1921300,4276.271274657784,4276.271274657784,age group population
1909,Female,5-14,10082,3568200,282.55142648954654,282.55142648954654,age group population
1909,Male,5-14,9599,3561100,269.55154306253684,269.55154306253684,age group population
1909,Female,15-24,10239,3342400,306.3367640019148,306.3367640019148,age group population
1909,Male,15-24,10905,3143400,346.91735063943497,346.91735063943497,age group population
1909,Female,25-34,13559,3059800,443.13353813974766,443.13353813974766,age group population
1909,Male,25-34,14385,2768500,519.5954487989886,519.5954487989886,age group population
1909,Female,35-44,16854,2428100,694.122976813146,694.122976813146,age group population
1909,Male,35-44,19304,2262700,853.1400539178858,853.1400539178858,age group population
1909,Female,45-54,21480,1774100,1210.7547488867594,1210.7547488867594,age group population
1909,Male,45-54,25540,1639900,1557.4120373193487,1557.4120373193487,age group population
1909,Female,55-64,29333,1180800,2484.163279132791,2484.163279132791,age group population
1909,Male,55-64,32715,1052800,3107.427811550152,3107.427811550152,age group population
1909,Female,65-74,40455,728500,5553.191489361702,5553.191489361702,age group population
1909,Male,65-74,38535,580000,6643.9655172413795,6643.9655172413795,age group population
1909,Female,75-84,32612,262500,12423.619047619048,12423.619047619048,age group population
1909,Male,75-84,25720,180500,14249.307479224377,14249.307479224377,age group population
1909,Female,85+,10082,39300,25653.944020356234,25653.944020356234,age group population
1909,Male,85+,6340,21900,28949.771689497717,28949.771689497717,age group population
1910,Female,0-4,63302,1913800,3307.6601525760266,3307.6601525760266,age group population
1910,Male,0-4,76544,1929800,3966.4213908177016,3966.4213908177016,age group population
1910,Female,5-14,9083,3587200,253.20584299732383,253.20584299732383,age group population
1910,Male,5-14,8783,3580400,245.30778683945928,245.30778683945928,age group population
1910,Female,15-24,9570,3349400,285.72281602675105,285.72281602675105,age group population
1910,Male,15-24,10131,3151500,321.4659685863874,321.4659685863874,age group population
1910,Female,25-34,12775,3096700,412.53592533987796,412.53592533987796,age group population
1910,Male,25-34,13229,2804500,471.70618648600464,471.70618648600464,age group population
1910,Female,35-44,16143,2474400,652.4005819592628,652.4005819592628,age group population
1910,Male,35-44,18139,2304700,787.043866880722,787.043866880722,age group population
1910,Female,45-54,20027,1808100,1107.62679055362,1107.62679055362,age group population
1910,Male,45-54,24225,1670900,1449.8174636423485,1449.8174636423485,age group population
1910,Female,55-64,26806,1199200,2235.323549032689,2235.323549032689,age group population
1910,Male,55-64,31496,1071200,2940.253920836445,2940.253920836445,age group population
1910,Female,65-74,37137,745100,4984.1631995705275,4984.1631995705275,age group population
1910,Male,65-74,36656,592900,6182.492831843481,6182.492831843481,age group population
1910,Female,75-84,29966,266900,11227.426002248032,11227.426002248032,age group population
1910,Male,75-84,24005,182400,13160.635964912282,13160.635964912282,age group population
1910,Female,85+,9422,40500,23264.197530864196,23264.197530864196,age group population
1910,Male,85+,5808,22400,25928.571428571428,25928.571428571428,age group population
1911,Female,0-4,77213,1956000,3947.4948875255623,3947.4948875255623,age group population
1911,Male,0-4,91857,1969000,4665.159979685119,4665.159979685119,age group population
1911,Female,5-14,9893,3603000,274.5767416042187,274.5767416042187,age group population
1911,Male,5-14,9985,3587000,278.3663228324505,278.3663228324505,age group population
1911,Female,15-24,9976,3327000,299.8497144574692,299.8497144574692,age group population
1911,Male,15-24,10840,3156000,343.4727503168568,343.4727503168568,age group population
1911,Female,25-34,12946,3110000,416.27009646302247,416.27009646302247,age group population
1911,Male,25-34,14127,2823000,500.42507970244424,500.42507970244424,age group population
1911,Female,35-44,16604,2529000,656.5440885725584,656.5440885725584,age group population
1911,Male,35-44,18983,2354000,806.4146134239593,806.4146134239593,age group population
1911,Female,45-54,20950,1831000,1144.183506280721,1144.183506280721,age group population
1911,Male,45-54,25003,1679000,1489.1602144133412,1489.1602144133412,age group population
1911,Female,55-64,27923,1223000,2283.1561733442354,2283.1561733442354,age group population
1911,Male,55-64,32226,1088000,2961.948529411765,2961.948529411765,age group population
1911,Female,65-74,38623,765000,5048.75816993464,5048.75816993464,age group population
1911,Male,65-74,38315,614000,6240.228013029317,6240.228013029317,age group population
1911,Female,75-84,31537,274000,11509.85401459854,11509.85401459854,age group population
1911,Male,75-84,25011,183000,13667.213114754099,13667.213114754099,age group population
1911,Female,85+,9633,42000,22935.714285714286,22935.714285714286,age group population
1911,Male,85+,6165,23000,26804.347826086956,26804.347826086956,age group population
1912,Female,0-4,57415,1921000,2988.8079125455492,2988.8079125455492,age group population
1912,Male,0-4,69659,1941000,3588.820195775373,3588.820195775373,age group population
1912,Female,5-14,9230,3618000,255.1133222775014,255.1133222775014,age group population
1912,Male,5-14,8996,3601000,249.81949458483754,249.81949458483754,age group population
1912,Female,15-24,9788,3323000,294.55311465543184,294.55311465543184,age group population
1912,Male,15-24,10111,3154000,320.57704502219406,320.57704502219406,age group population
1912,Female,25-34,12505,3102000,403.1270148291425,403.1270148291425,age group population
1912,Male,25-34,13454,2818000,477.43080198722504,477.43080198722504,age group population
1912,Female,35-44,16343,2571000,635.6670556203811,635.6670556203811,age group population
1912,Male,35-44,18872,2391000,789.2931827687161,789.2931827687161,age group population
1912,Female,45-54,20856,1864000,1118.8841201716739,1118.8841201716739,age group population
1912,Male,45-54,25231,1721000,1466.0662405578153,1466.0662405578153,age group population
1912,Female,55-64,27985,1252000,2235.223642172524,2235.223642172524,age group population
1912,Male,55-64,32929,1114000,2955.9245960502694,2955.9245960502694,age group population
1912,Female,65-74,39708,775000,5123.612903225806,5123.612903225806,age group population
1912,Male,65-74,39077,623000,6272.39165329053,6272.39165329053,age group population
1912,Female,75-84,32585,282000,11554.964539007093,11554.964539007093,age group population
1912,Male,75-84,25768,190000,13562.105263157895,13562.105263157895,age group population
1912,Female,85+,10292,43000,23934.883720930233,23934.883720930233,age group population
1912,Male,85+,6135,23000,26673.91304347826,26673.91304347826,age group population
1913,Female,0-4,63294,1902000,3327.7602523659307,3327.7602523659307,age group population
1913,Male,0-4,77663,1928000,4028.1639004149374,4028.1639004149374,age group population
1913,Female,5-14,9398,3639000,258.25776312173673,258.25776312173673,age group population
1913,Male,5-14,9334,3619000,257.91655153357283,257.91655153357283,age group population
1913,Female,15-24,9520,3328000,286.0576923076923,286.0576923076923,age group population
1913,Male,15-24,9964,3163000,315.01738855516913,315.01738855516913,age group population
1913,Female,25-34,12290,3097000,396.83564740071034,396.83564740071034,age group population
1913,Male,25-34,13366,2810000,475.65836298932385,475.65836298932385,age group population
1913,Female,35-44,16600,2611000,635.7717349674454,635.7717349674454,age group population
1913,Male,35-44,19124,2428000,787.644151565074,787.644151565074,age group population
1913,Female,45-54,21491,1902000,1129.9158780231337,1129.9158780231337,age group population
1913,Male,45-54,25910,1759000,1472.9960204661738,1472.9960204661738,age group population
1913,Female,55-64,28559,1281000,2229.4301327088215,2229.4301327088215,age group population
1913,Male,55-64,34041,1138000,2991.300527240773,2991.300527240773,age group population
1913,Female,65-74,39558,788000,5020.05076142132,5020.05076142132,age group population
1913,Male,65-74,39730,632000,6286.392405063291,6286.392405063291,age group population
1913,Female,75-84,32420,290000,11179.310344827587,11179.310344827587,age group population
1913,Male,75-84,26360,193000,13658.0310880829,13658.0310880829,age group population
1913,Female,85+,10158,43000,23623.25581395349,23623.25581395349,age group population
1913,Male,85+,6195,23000,26934.782608695652,26934.782608695652,age group population
1914,Female,0-4,62359,1895000,3290.712401055409,3290.712401055409,age group population
1914,Male,0-4,75618,1918000,3942.5443169968717,3942.5443169968717,age group population
1914,Female,5-14,10240,3662000,279.62861824139816,279.62861824139816,age group population
1914,Male,5-14,10086,3648000,276.48026315789474,276.48026315789474,age group population
1914,Female,15-24,9861,3347000,294.6220495966537,294.6220495966537,age group population
1914,Male,15-24,11057,3197000,345.85548952142636,345.85548952142636,age group population
1914,Female,25-34,12675,3119000,406.3802500801539,406.3802500801539,age group population
1914,Male,25-34,14450,2826000,511.3234253361642,511.3234253361642,age group population
1914,Female,35-44,17201,2659000,646.8973298232418,646.8973298232418,age group population
1914,Male,35-44,20431,2464000,829.1801948051948,829.1801948051948,age group population
1914,Female,45-54,22382,1943000,1151.9300051466805,1151.9300051466805,age group population
1914,Male,45-54,27052,1810000,1494.585635359116,1494.585635359116,age group population
1914,Female,55-64,29439,1313000,2242.117288651942,2242.117288651942,age group population
1914,Male,55-64,34934,1166000,2996.0548885077187,2996.0548885077187,age group population
1914,Female,65-74,40465,794000,5096.347607052897,5096.347607052897,age group population
1914,Male,65-74,40617,641000,6336.505460218408,6336.505460218408,age group population
1914,Female,75-84,34018,298000,11415.436241610738,11415.436241610738,age group population
1914,Male,75-84,26646,200000,13322.999999999998,13322.999999999998,age group population
1914,Female,85+,10743,44000,24415.909090909092,24415.909090909092,age group population
1914,Male,85+,6468,23000,28121.73913043478,28121.73913043478,age group population
1915,Female,0-4,64868,1887000,3437.625861155273,3437.625861155273,age group population
1915,Male,0-4,80119,1906000,4203.515215110178,4203.515215110178,age group population
1915,Female,5-14,11348,3672000,309.041394335512,309.041394335512,age group population
1915,Male,5-14,11444,3663000,312.42151242151243,312.42151242151243,age group population
1915,Female,15-24,10841,3364000,322.2651605231867,322.2651605231867,age group population
1915,Male,15-24,13197,2301000,573.5332464146023,573.5332464146023,age group population
1915,Female,25-34,13172,3146000,418.69040050858234,418.69040050858234,age group population
1915,Male,25-34,15692,1998000,785.3853853853853,785.3853853853853,age group population
1915,Female,35-44,17735,2712000,653.9454277286136,653.9454277286136,age group population
1915,Male,35-44,21660,2245000,964.8106904231626,964.8106904231626,age group population
1915,Female,45-54,23408,1994000,1173.9217652958876,1173.9217652958876,age group population
1915,Male,45-54,28652,1818000,1576.0176017601761,1576.0176017601761,age group population
1915,Female,55-64,31837,1348000,2361.795252225519,2361.795252225519,age group population
1915,Male,55-64,38706,1207000,3206.793703396852,3206.793703396852,age group population
1915,Female,65-74,44793,804000,5571.268656716418,5571.268656716418,age group population
1915,Male,65-74,44766,648000,6908.333333333333,6908.333333333333,age group population
1915,Female,75-84,39454,303000,13021.12211221122,13021.12211221122,age group population
1915,Male,75-84,30722,200000,15361.0,15361.0,age group population
1915,Female,85+,12416,45000,27591.11111111111,27591.11111111111,age group population
1915,Male,85+,7423,23000,32273.91304347826,32273.91304347826,age group population
1916,Female,0-4,49117,1853000,2650.674581759309,2650.674581759309,age group population
1916,Male,0-4,60849,1871000,3252.2180652057723,3252.2180652057723,age group population
1916,Female,5-14,9919,3670000,270.2724795640327,270.2724795640327,age group population
1916,Male,5-14,10189,3664000,278.08406113537114,278.08406113537114,age group population
1916,Female,15-24,10831,3406000,317.9976512037581,317.9976512037581,age group population
1916,Male,15-24,13325,2046000,651.2707722385142,651.2707722385142,age group population
1916,Female,25-34,12738,3144000,405.1526717557252,405.1526717557252,age group population
1916,Male,25-34,15142,1588000,953.5264483627204,953.5264483627204,age group population
1916,Female,35-44,16826,2757000,610.3010518679724,610.3010518679724,age group population
1916,Male,35-44,20387,2110000,966.2085308056872,966.2085308056872,age group population
1916,Female,45-54,21748,2038000,1067.124631992149,1067.124631992149,age group population
1916,Male,45-54,27375,1839000,1488.5807504078302,1488.5807504078302,age group population
1916,Female,55-64,29717,1378000,2156.5312046444124,2156.5312046444124,age group population
1916,Male,55-64,36454,1224000,2978.267973856209,2978.267973856209,age group population
1916,Female,65-74,42449,819000,5183.028083028083,5183.028083028083,age group population
1916,Male,65-74,43820,656000,6679.878048780488,6679.878048780488,age group population
1916,Female,75-84,37766,306000,12341.830065359478,12341.830065359478,age group population
1916,Male,75-84,30376,205000,14817.560975609756,14817.560975609756,age group population
1916,Female,85+,12076,45000,26835.55555555556,26835.55555555556,age group population
1916,Male,85+,7113,23000,30926.086956521736,30926.086956521736,age group population
1917,Female,0-4,47258,1795000,2632.757660167131,2632.757660167131,age group population
1917,Male,0-4,57736,1813000,3184.5559845559847,3184.5559845559847,age group population
1917,Female,5-14,9965,3668000,271.6739367502726,271.6739367502726,age group population
1917,Male,5-14,10085,3677000,274.27250475931464,274.27250475931464,age group population
1917,Female,15-24,11310,3425000,330.2189781021898,330.2189781021898,age group population
1917,Male,15-24,13457,1898000,709.0094836670179,709.0094836670179,age group population
1917,Female,25-34,12368,3158000,391.64027865737813,391.64027865737813,age group population
1917,Male,25-34,14994,1291000,1161.4252517428351,1161.4252517428351,age group population
1917,Female,35-44,16343,2794000,584.9319971367215,584.9319971367215,age group population
1917,Male,35-44,20572,1967000,1045.8566344687342,1045.8566344687342,age group population
1917,Female,45-54,21127,2091000,1010.3778096604495,1010.3778096604495,age group population
1917,Male,45-54,27320,1870000,1460.9625668449198,1460.9625668449198,age group population
1917,Female,55-64,29138,1409000,2067.991483321505,2067.991483321505,age group population
1917,Male,55-64,36765,1253000,2934.1580207501993,2934.1580207501993,age group population
1917,Female,65-74,40857,838000,4875.536992840095,4875.536992840095,age group population
1917,Male,65-74,44081,666000,6618.768768768769,6618.768768768769,age group population
1917,Female,75-84,36741,308000,11928.896103896104,11928.896103896104,age group population
1917,Male,75-84,30329,206000,14722.815533980582,14722.815533980582,age group population
1917,Female,85+,11600,46000,25217.391304347824,25217.391304347824,age group population
1917,Male,85+,6876,24000,28649.999999999996,28649.999999999996,age group population
1918,Female,0-4,57636,1689000,3412.4333925399646,3412.4333925399646,age group population
1918,Male,0-4,66517,1710000,3889.8830409356724,3889.8830409356724,age group population
1918,Female,5-14,18055,3671000,491.82783982566053,491.82783982566053,age group population
1918,Male,5-14,16599,3685000,450.44776119402985,450.44776119402985,age group population
1918,Female,15-24,23917,3440000,695.2616279069767,695.2616279069767,age group population
1918,Male,15-24,25551,1937000,1319.101703665462,1319.101703665462,age group population
1918,Female,25-34,30958,3160000,979.6835443037975,979.6835443037975,age group population
1918,Male,25-34,31649,1134000,2790.9171075837744,2790.9171075837744,age group population
1918,Female,35-44,23956,2823000,848.6007793127878,848.6007793127878,age group population
1918,Male,35-44,27623,1890000,1461.5343915343915,1461.5343915343915,age group population
1918,Female,45-54,26339,2142000,1229.6451914098973,1229.6451914098973,age group population
1918,Male,45-54,31893,1886000,1691.0392364793213,1691.0392364793213,age group population
1918,Female,55-64,30836,1442000,2138.418862690707,2138.418862690707,age group population
1918,Male,55-64,37721,1283000,2940.062353858145,2940.062353858145,age group population
1918,Female,65-74,41098,859000,4784.400465657742,4784.400465657742,age group population
1918,Male,65-74,43556,676000,6443.195266272189,6443.195266272189,age group population
1918,Female,75-84,33961,315000,10781.269841269841,10781.269841269841,age group population
1918,Male,75-84,27736,210000,13207.619047619048,13207.619047619048,age group population
1918,Female,85+,10401,47000,22129.787234042553,22129.787234042553,age group population
1918,Male,85+,5859,25000,23436.0,23436.0,age group population
1919,Female,0-4,41411,1567000,2642.6930440331844,2642.6930440331844,age group population
1919,Male,0-4,52228,1594000,3276.5370138017565,3276.5370138017565,age group population
1919,Female,5-14,10723,3660000,292.9781420765027,292.9781420765027,age group population
1919,Male,5-14,10610,3670000,289.1008174386921,289.1008174386921,age group population
1919,Female,15-24,13208,3443000,383.61893697356953,383.61893697356953,age group population
1919,Male,15-24,13556,2540000,533.7007874015749,533.7007874015749,age group population
1919,Female,25-34,16993,3139000,541.3507486460657,541.3507486460657,age group population
1919,Male,25-34,17787,1745000,1019.3123209169054,1019.3123209169054,age group population
1919,Female,35-44,17381,2833000,613.5192375573597,613.5192375573597,age group population
1919,Male,35-44,20010,2102000,951.9505233111323,951.9505233111323,age group population
1919,Female,45-54,22192,2190000,1013.3333333333333,1013.3333333333333,age group population
1919,Male,45-54,26800,1975000,1356.9620253164555,1356.9620253164555,age group population
1919,Female,55-64,30205,1472000,2051.9701086956525,2051.9701086956525,age group population
1919,Male,55-64,35952,1316000,2731.9148936170213,2731.9148936170213,age group population
1919,Female,65-74,42522,880000,4832.045454545455,4832.045454545455,age group population
1919,Male,65-74,43342,692000,6263.294797687861,6263.294797687861,age group population
