year,cause,cause_description,sex,age,deaths
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,15-19,22
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,20-24,30
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,85+,203
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,<1,25
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,T25-34,122
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,T35-44,320
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,T45-54,727
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,T55-64,1396
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,T65-74,1790
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,T75-84,1225
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,01-04,7
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,05-09,5
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,10-14,8
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,15-19,13
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,20-24,18
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,85+,143
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,<1,39
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,T25-34,94
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,T35-44,235
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,T45-54,622
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,T55-64,1163
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,T65-74,1488
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Male,T75-84,1002
1901,1070.0,"Apoplexy, hemiplegia",Female,01-04,7
1901,1070.0,"Apoplexy, hemiplegia",Female,05-09,7
1901,1070.0,"Apoplexy, hemiplegia",Female,10-14,5
1901,1070.0,"Apoplexy, hemiplegia",Female,15-19,9
1901,1070.0,"Apoplexy, hemiplegia",Female,20-24,18
1901,1070.0,"Apoplexy, hemiplegia",Female,85+,292
1901,1070.0,"Apoplexy, hemiplegia",Female,<1,7
1901,1070.0,"Apoplexy, hemiplegia",Female,T25-34,81
1901,1070.0,"Apoplexy, hemiplegia",Female,T35-44,296
1901,1070.0,"Apoplexy, hemiplegia",Female,T45-54,831
1901,1070.0,"Apoplexy, hemiplegia",Female,T55-64,1623
1901,1070.0,"Apoplexy, hemiplegia",Female,T65-74,2299
1901,1070.0,"Apoplexy, hemiplegia",Female,T75-84,1681
1901,1070.0,"Apoplexy, hemiplegia",Male,01-04,12
1901,1070.0,"Apoplexy, hemiplegia",Male,05-09,4
1901,1070.0,"Apoplexy, hemiplegia",Male,10-14,6
1901,1070.0,"Apoplexy, hemiplegia",Male,15-19,12
1901,1070.0,"Apoplexy, hemiplegia",Male,20-24,21
1901,1070.0,"Apoplexy, hemiplegia",Male,85+,190
1901,1070.0,"Apoplexy, hemiplegia",Male,<1,15
1901,1070.0,"Apoplexy, hemiplegia",Male,T25-34,76
1901,1070.0,"Apoplexy, hemiplegia",Male,T35-44,266
1901,1070.0,"Apoplexy, hemiplegia",Male,T45-54,670
1901,1070.0,"Apoplexy, hemiplegia",Male,T55-64,1380
1901,1070.0,"Apoplexy, hemiplegia",Male,T65-74,2062
1901,1070.0,"Apoplexy, hemiplegia",Male,T75-84,1323
1901,1080.0,Aneurysm,Female,20-24,1
1901,1080.0,Aneurysm,Female,85+,4
1901,1080.0,Aneurysm,Female,T25-34,7
1901,1080.0,Aneurysm,Female,T35-44,25
1901,1080.0,Aneurysm,Female,T45-54,48
1901,1080.0,Aneurysm,Female,T55-64,51
1901,1080.0,Aneurysm,Female,T65-74,36
1901,1080.0,Aneurysm,Female,T75-84,22
1901,1080.0,Aneurysm,Male,10-14,1
1901,1080.0,Aneurysm,Male,15-19,2
1901,1080.0,Aneurysm,Male,20-24,2
1901,1080.0,Aneurysm,Male,85+,5
1901,1080.0,Aneurysm,Male,T25-34,79
1901,1080.0,Aneurysm,Male,T35-44,190
1901,1080.0,Aneurysm,Male,T45-54,226
1901,1080.0,Aneurysm,Male,T55-64,178
1901,1080.0,Aneurysm,Male,T65-74,66
1901,1080.0,Aneurysm,Male,T75-84,24
1901,1090.0,Senile gangrene,Female,85+,88
1901,1090.0,Senile gangrene,Female,T45-54,2
1901,1090.0,Senile gangrene,Female,T55-64,75
1901,1090.0,Senile gangrene,Female,T65-74,210
1901,1090.0,Senile gangrene,Female,T75-84,283
1901,1090.0,Senile gangrene,Male,85+,80
1901,1090.0,Senile gangrene,Male,T45-54,1
1901,1090.0,Senile gangrene,Male,T55-64,95
1901,1090.0,Senile gangrene,Male,T65-74,260
1901,1090.0,Senile gangrene,Male,T75-84,312
1901,110.0,Relapsing fever,Female,01-04,1
1901,110.0,Relapsing fever,Female,10-14,2
1901,110.0,Relapsing fever,Male,20-24,1
1901,110.0,Relapsing fever,Male,T35-44,1
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,01-04,3
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,05-09,3
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,10-14,5
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,15-19,10
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,20-24,21
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,85+,3
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,<1,5
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,T25-34,40
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,T35-44,38
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,T45-54,68
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,T55-64,52
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,T65-74,53
1901,1100.0,"Embolism, thrombosis (not cerebral)",Female,T75-84,28
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,01-04,11
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,05-09,4
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,10-14,1
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,15-19,6
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,20-24,7
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,85+,5
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,<1,8
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,T25-34,15
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,T35-44,25
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,T45-54,43
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,T55-64,57
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,T65-74,52
1901,1100.0,"Embolism, thrombosis (not cerebral)",Male,T75-84,23
1901,1110.0,Phlebitis,Female,10-14,1
1901,1110.0,Phlebitis,Female,15-19,1
1901,1110.0,Phlebitis,Female,20-24,2
1901,1110.0,Phlebitis,Female,85+,1
1901,1110.0,Phlebitis,Female,T25-34,17
1901,1110.0,Phlebitis,Female,T35-44,10
1901,1110.0,Phlebitis,Female,T45-54,19
1901,1110.0,Phlebitis,Female,T55-64,21
1901,1110.0,Phlebitis,Female,T65-74,19
1901,1110.0,Phlebitis,Female,T75-84,11
1901,1110.0,Phlebitis,Male,05-09,1
1901,1110.0,Phlebitis,Male,15-19,3
1901,1110.0,Phlebitis,Male,20-24,2
1901,1110.0,Phlebitis,Male,85+,1
1901,1110.0,Phlebitis,Male,<1,2
1901,1110.0,Phlebitis,Male,T25-34,4
1901,1110.0,Phlebitis,Male,T35-44,10
1901,1110.0,Phlebitis,Male,T45-54,8
1901,1110.0,Phlebitis,Male,T55-64,13
1901,1110.0,Phlebitis,Male,T65-74,11
1901,1110.0,Phlebitis,Male,T75-84,6
1901,1120.0,Varicose veins,Female,20-24,1
1901,1120.0,Varicose veins,Female,T25-34,5
1901,1120.0,Varicose veins,Female,T35-44,12
1901,1120.0,Varicose veins,Female,T45-54,13
1901,1120.0,Varicose veins,Female,T55-64,20
1901,1120.0,Varicose veins,Female,T65-74,7
1901,1120.0,Varicose veins,Female,T75-84,17
1901,1120.0,Varicose veins,Male,T25-34,2
1901,1120.0,Varicose veins,Male,T35-44,3
1901,1120.0,Varicose veins,Male,T45-54,9
1901,1120.0,Varicose veins,Male,T55-64,12
1901,1120.0,Varicose veins,Male,T65-74,5
1901,1120.0,Varicose veins,Male,T75-84,4
1901,1130.0,Other diseases of blood vessels,Female,01-04,1
1901,1130.0,Other diseases of blood vessels,Female,15-19,1
1901,1130.0,Other diseases of blood vessels,Female,85+,36
1901,1130.0,Other diseases of blood vessels,Female,<1,9
1901,1130.0,Other diseases of blood vessels,Female,T25-34,11
1901,1130.0,Other diseases of blood vessels,Female,T35-44,5
1901,1130.0,Other diseases of blood vessels,Female,T45-54,31
1901,1130.0,Other diseases of blood vessels,Female,T55-64,72
1901,1130.0,Other diseases of blood vessels,Female,T65-74,152
1901,1130.0,Other diseases of blood vessels,Female,T75-84,130
1901,1130.0,Other diseases of blood vessels,Male,10-14,1
1901,1130.0,Other diseases of blood vessels,Male,20-24,3
1901,1130.0,Other diseases of blood vessels,Male,85+,46
1901,1130.0,Other diseases of blood vessels,Male,<1,5
1901,1130.0,Other diseases of blood vessels,Male,T25-34,11
1901,1130.0,Other diseases of blood vessels,Male,T35-44,23
1901,1130.0,Other diseases of blood vessels,Male,T45-54,79
1901,1130.0,Other diseases of blood vessels,Male,T55-64,140
1901,1130.0,Other diseases of blood vessels,Male,T65-74,270
1901,1130.0,Other diseases of blood vessels,Male,T75-84,198
1901,1140.0,Laryngitis,Female,01-04,373
1901,1140.0,Laryngitis,Female,05-09,117
1901,1140.0,Laryngitis,Female,10-14,6
1901,1140.0,Laryngitis,Female,15-19,7
1901,1140.0,Laryngitis,Female,20-24,5
1901,1140.0,Laryngitis,Female,85+,1
1901,1140.0,Laryngitis,Female,<1,108
1901,1140.0,Laryngitis,Female,T25-34,11
1901,1140.0,Laryngitis,Female,T35-44,14
1901,1140.0,Laryngitis,Female,T45-54,13
1901,1140.0,Laryngitis,Female,T55-64,8
1901,1140.0,Laryngitis,Female,T65-74,15
1901,1140.0,Laryngitis,Female,T75-84,9
1901,1140.0,Laryngitis,Male,01-04,347
1901,1140.0,Laryngitis,Male,05-09,103
1901,1140.0,Laryngitis,Male,10-14,15
1901,1140.0,Laryngitis,Male,15-19,6
1901,1140.0,Laryngitis,Male,<1,150
1901,1140.0,Laryngitis,Male,T25-34,11
1901,1140.0,Laryngitis,Male,T35-44,16
1901,1140.0,Laryngitis,Male,T45-54,25
1901,1140.0,Laryngitis,Male,T55-64,24
1901,1140.0,Laryngitis,Male,T65-74,15
1901,1140.0,Laryngitis,Male,T75-84,10
1901,1150.0,Membranous laryngitis (not diphtheritic),Female,01-04,6
1901,1150.0,Membranous laryngitis (not diphtheritic),Female,05-09,4
1901,1150.0,Membranous laryngitis (not diphtheritic),Female,<1,1
1901,1150.0,Membranous laryngitis (not diphtheritic),Female,T35-44,1
1901,1150.0,Membranous laryngitis (not diphtheritic),Female,T75-84,1
1901,1150.0,Membranous laryngitis (not diphtheritic),Male,01-04,13
1901,1150.0,Membranous laryngitis (not diphtheritic),Male,05-09,3
1901,1150.0,Membranous laryngitis (not diphtheritic),Male,10-14,1
1901,1150.0,Membranous laryngitis (not diphtheritic),Male,<1,2
1901,1160.0,Croup (not spasmodic nor membranous),Female,01-04,271
1901,1160.0,Croup (not spasmodic nor membranous),Female,05-09,72
1901,1160.0,Croup (not spasmodic nor membranous),Female,10-14,4
1901,1160.0,Croup (not spasmodic nor membranous),Female,<1,37
1901,1160.0,Croup (not spasmodic nor membranous),Male,01-04,291
1901,1160.0,Croup (not spasmodic nor membranous),Male,05-09,86
1901,1160.0,Croup (not spasmodic nor membranous),Male,10-14,4
1901,1160.0,Croup (not spasmodic nor membranous),Male,<1,66
1901,1170.0,Other diseases of larynx and trachea,Female,01-04,7
1901,1170.0,Other diseases of larynx and trachea,Female,15-19,1
1901,1170.0,Other diseases of larynx and trachea,Female,85+,3
1901,1170.0,Other diseases of larynx and trachea,Female,<1,4
1901,1170.0,Other diseases of larynx and trachea,Female,T25-34,2
1901,1170.0,Other diseases of larynx and trachea,Female,T35-44,1
1901,1170.0,Other diseases of larynx and trachea,Female,T55-64,3
1901,1170.0,Other diseases of larynx and trachea,Female,T65-74,1
1901,1170.0,Other diseases of larynx and trachea,Female,T75-84,3
1901,1170.0,Other diseases of larynx and trachea,Male,01-04,8
1901,1170.0,Other diseases of larynx and trachea,Male,05-09,1
1901,1170.0,Other diseases of larynx and trachea,Male,10-14,1
1901,1170.0,Other diseases of larynx and trachea,Male,<1,8
1901,1170.0,Other diseases of larynx and trachea,Male,T25-34,4
1901,1170.0,Other diseases of larynx and trachea,Male,T35-44,1
1901,1170.0,Other diseases of larynx and trachea,Male,T45-54,7
1901,1170.0,Other diseases of larynx and trachea,Male,T65-74,2
1901,1170.0,Other diseases of larynx and trachea,Male,T75-84,5
1901,1180.0,Bronchitis,Female,01-04,2544
1901,1180.0,Bronchitis,Female,05-09,125
1901,1180.0,Bronchitis,Female,10-14,39
1901,1180.0,Bronchitis,Female,15-19,40
1901,1180.0,Bronchitis,Female,20-24,45
1901,1180.0,Bronchitis,Female,85+,959
1901,1180.0,Bronchitis,Female,<1,5099
1901,1180.0,Bronchitis,Female,T25-34,178
1901,1180.0,Bronchitis,Female,T35-44,545
1901,1180.0,Bronchitis,Female,T45-54,1294
1901,1180.0,Bronchitis,Female,T55-64,2929
1901,1180.0,Bronchitis,Female,T65-74,4795
1901,1180.0,Bronchitis,Female,T75-84,4131
1901,1180.0,Bronchitis,Male,01-04,2493
1901,1180.0,Bronchitis,Male,05-09,139
1901,1180.0,Bronchitis,Male,10-14,29
1901,1180.0,Bronchitis,Male,15-19,38
1901,1180.0,Bronchitis,Male,20-24,45
1901,1180.0,Bronchitis,Male,85+,595
1901,1180.0,Bronchitis,Male,<1,6595
1901,1180.0,Bronchitis,Male,T25-34,152
1901,1180.0,Bronchitis,Male,T35-44,489
1901,1180.0,Bronchitis,Male,T45-54,1383
1901,1180.0,Bronchitis,Male,T55-64,2943
1901,1180.0,Bronchitis,Male,T65-74,3957
1901,1180.0,Bronchitis,Male,T75-84,2954
1901,1190.0,"Emphysema, asthma",Female,01-04,8
1901,1190.0,"Emphysema, asthma",Female,05-09,1
1901,1190.0,"Emphysema, asthma",Female,15-19,7
1901,1190.0,"Emphysema, asthma",Female,20-24,17
1901,1190.0,"Emphysema, asthma",Female,85+,11
1901,1190.0,"Emphysema, asthma",Female,<1,6
1901,1190.0,"Emphysema, asthma",Female,T25-34,45
1901,1190.0,"Emphysema, asthma",Female,T35-44,66
1901,1190.0,"Emphysema, asthma",Female,T45-54,157
1901,1190.0,"Emphysema, asthma",Female,T55-64,254
1901,1190.0,"Emphysema, asthma",Female,T65-74,272
1901,1190.0,"Emphysema, asthma",Female,T75-84,119
1901,1190.0,"Emphysema, asthma",Male,01-04,4
1901,1190.0,"Emphysema, asthma",Male,05-09,2
1901,1190.0,"Emphysema, asthma",Male,10-14,2
1901,1190.0,"Emphysema, asthma",Male,15-19,4
1901,1190.0,"Emphysema, asthma",Male,20-24,6
1901,1190.0,"Emphysema, asthma",Male,85+,15
1901,1190.0,"Emphysema, asthma",Male,<1,6
1901,1190.0,"Emphysema, asthma",Male,T25-34,55
1901,1190.0,"Emphysema, asthma",Male,T35-44,101
1901,1190.0,"Emphysema, asthma",Male,T45-54,235
1901,1190.0,"Emphysema, asthma",Male,T55-64,419
1901,1190.0,"Emphysema, asthma",Male,T65-74,399
1901,1190.0,"Emphysema, asthma",Male,T75-84,132
1901,120.0,Influenza,Female,01-04,115
1901,120.0,Influenza,Female,05-09,54
1901,120.0,Influenza,Female,10-14,38
1901,120.0,Influenza,Female,15-19,65
1901,120.0,Influenza,Female,20-24,75
1901,120.0,Influenza,Female,85+,83
1901,120.0,Influenza,Female,<1,131
1901,120.0,Influenza,Female,T25-34,195
1901,120.0,Influenza,Female,T35-44,260
1901,120.0,Influenza,Female,T45-54,315
1901,120.0,Influenza,Female,T55-64,421
1901,120.0,Influenza,Female,T65-74,621
1901,120.0,Influenza,Female,T75-84,381
1901,120.0,Influenza,Male,01-04,121
1901,120.0,Influenza,Male,05-09,41
1901,120.0,Influenza,Male,10-14,44
1901,120.0,Influenza,Male,15-19,108
1901,120.0,Influenza,Male,20-24,97
1901,120.0,Influenza,Male,85+,37
1901,120.0,Influenza,Male,<1,167
1901,120.0,Influenza,Male,T25-34,256
1901,120.0,Influenza,Male,T35-44,329
1901,120.0,Influenza,Male,T45-54,433
1901,120.0,Influenza,Male,T55-64,486
1901,120.0,Influenza,Male,T65-74,502
1901,120.0,Influenza,Male,T75-84,291
1901,1200.0,Pleurisy,Female,01-04,57
1901,1200.0,Pleurisy,Female,05-09,17
1901,1200.0,Pleurisy,Female,10-14,10
1901,1200.0,Pleurisy,Female,15-19,29
1901,1200.0,Pleurisy,Female,20-24,22
1901,1200.0,Pleurisy,Female,85+,12
1901,1200.0,Pleurisy,Female,<1,27
1901,1200.0,Pleurisy,Female,T25-34,74
1901,1200.0,Pleurisy,Female,T35-44,85
1901,1200.0,Pleurisy,Female,T45-54,96
1901,1200.0,Pleurisy,Female,T55-64,100
1901,1200.0,Pleurisy,Female,T65-74,119
1901,1200.0,Pleurisy,Female,T75-84,49
1901,1200.0,Pleurisy,Male,01-04,69
1901,1200.0,Pleurisy,Male,05-09,20
1901,1200.0,Pleurisy,Male,10-14,9
1901,1200.0,Pleurisy,Male,15-19,30
1901,1200.0,Pleurisy,Male,20-24,46
1901,1200.0,Pleurisy,Male,85+,8
1901,1200.0,Pleurisy,Male,<1,32
1901,1200.0,Pleurisy,Male,T25-34,109
1901,1200.0,Pleurisy,Male,T35-44,131
1901,1200.0,Pleurisy,Male,T45-54,175
1901,1200.0,Pleurisy,Male,T55-64,153
1901,1200.0,Pleurisy,Male,T65-74,132
1901,1200.0,Pleurisy,Male,T75-84,44
1901,1210.0,Fibroid disease of lung,Female,15-19,1
1901,1210.0,Fibroid disease of lung,Female,20-24,2
1901,1210.0,Fibroid disease of lung,Female,85+,1
1901,1210.0,Fibroid disease of lung,Female,T25-34,10
1901,1210.0,Fibroid disease of lung,Female,T35-44,32
1901,1210.0,Fibroid disease of lung,Female,T45-54,40
1901,1210.0,Fibroid disease of lung,Female,T55-64,41
1901,1210.0,Fibroid disease of lung,Female,T65-74,43
1901,1210.0,Fibroid disease of lung,Female,T75-84,10
1901,1210.0,Fibroid disease of lung,Male,05-09,2
1901,1210.0,Fibroid disease of lung,Male,15-19,1
1901,1210.0,Fibroid disease of lung,Male,20-24,8
