code,icd_version,harmonized_category,harmonized_category_name,classification_confidence,notes
D134,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D134)
D135,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D135)
D136,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D136)
D137,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D137)
D139,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D139)
D140,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D140)
D141,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D141)
D142,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D142)
D143,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D143)
D144,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D144)
D150,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D150)
D151,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D151)
D152,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D152)
D157,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D157)
D160,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D160)
D164,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D164)
D165,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D165)
D166,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D166)
D168,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D168)
D169,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D169)
D171,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D171)
D172,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D172)
D174,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D174)
D175,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D175)
D177,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D177)
D179,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D179)
D180,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D180)
D181,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D181)
D199,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D199)
D200,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D200)
D201,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D201)
D210,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D210)
D212,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D212)
D213,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D213)
D215,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D215)
D219,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D219)
D229,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D229)
D234,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D234)
D235,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D235)
D237,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D237)
D239,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D239)
D252,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D252)
D259,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D259)
D260,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D260)
D261,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D261)
D269,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D269)
D27,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D27)
D280,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D280)
D289,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D289)
D291,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D291)
D300,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D300)
D302,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D302)
D303,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D303)
D314,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D314)
D315,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D315)
D316,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D316)
D320,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D320)
D321,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D321)
D329,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D329)
D330,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D330)
D331,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D331)
D332,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D332)
D333,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D333)
D334,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D334)
D337,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D337)
D339,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D339)
D34,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D34)
D350,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D350)
D351,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D351)
D352,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D352)
D354,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D354)
D360,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D360)
D361,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D361)
D367,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D367)
D369,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D369)
D370,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D370)
D371,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D371)
D372,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D372)
D373,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D373)
D374,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D374)
D375,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D375)
D376,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D376)
D377,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D377)
D379,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D379)
D380,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D380)
D381,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D381)
D382,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D382)
D383,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D383)
D384,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D384)
D385,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D385)
D386,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D386)
D390,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D390)
D391,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D391)
D392,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D392)
D397,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D397)
D399,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D399)
D400,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D400)
D401,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D401)
D407,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D407)
D410,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D410)
D411,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D411)
D412,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D412)
D413,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D413)
D414,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D414)
D419,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D419)
D420,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D420)
D421,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D421)
D429,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D429)
D430,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D430)
D431,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D431)
D432,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D432)
D433,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D433)
D434,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D434)
D437,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D437)
D439,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D439)
D440,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D440)
D441,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D441)
D442,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D442)
D443,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D443)
D444,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D444)
D445,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D445)
D446,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D446)
D447,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D447)
D448,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D448)
D449,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D449)
D45,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D45)
D461,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D461)
D462,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D462)
D463,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D463)
D464,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D464)
D466,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D466)
D467,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D467)
D469,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D469)
D470,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D470)
D471,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D471)
D472,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D472)
D473,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D473)
D474,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D474)
D475,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D475)
D477,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D477)
D479,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D479)
D480,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D480)
D481,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D481)
D482,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D482)
D483,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D483)
D484,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D484)
D485,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D485)
D486,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D486)
D487,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D487)
D489,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D489)
D529,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D529)
D530,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D530)
D531,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D531)
D539,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D539)
D560,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D560)
D561,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D561)
D563,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D563)
D568,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D568)
D569,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D569)
D570,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D570)
D571,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D571)
D572,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D572)
D573,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D573)
D578,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D578)
D580,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D580)
D581,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D581)
D582,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D582)
D588,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D588)
D589,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D589)
D590,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D590)
D591,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D591)
D593,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D593)
D594,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D594)
D595,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D595)
D596,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D596)
D599,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D599)
D608,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D608)
D609,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D609)
D610,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D610)
