code,description
3550,Mononeuritis of lower limb - Lesion of sciatic nerve
3551,Mononeuritis of lower limb - Meralgia paraesthetica
3552,Mononeuritis of lower limb - Lesion of femoral nerve
3532,"Nerve root and plexus disorders - Cervical root lesions, not elsewhere classified"
3531,Nerve root and plexus disorders - Lumbosacral plexus lesions
3530,Nerve root and plexus disorders - Brachial plexus lesions
3518,Facial nerve disorders - Other
3500,Trigeminal nerve disorders - Post-herpetic trigeminal neuralgia
3501,Trigeminal nerve disorders - Other trigeminal neuralgia
3502,Trigeminal nerve disorders - Atypical face pain
3508,Trigeminal nerve disorders - Other
3509,Trigeminal nerve disorders - Unspecified
3510,Facial nerve disorders - Bell's palsy
3511,Facial nerve disorders - Geniculate ganglionitis
3519,Facial nerve disorders - Unspecified
3529,Disorders of other cranial nerves - Unspecified
3520,Disorders of other cranial nerves - Disorders of olfactory [1st] nerve
3521,Disorders of other cranial nerves - Glossopharyngeal neuralgia
3522,Disorders of other cranial nerves - Other disorders of glossopharyngeal [9th] nerve
3523,Disorders of other cranial nerves - Disorders of pneumogastric [10th] nerve
3524,Disorders of other cranial nerves - Disorders of accessory [11th] nerve
3525,Disorders of other cranial nerves - Disorders of hypoglossal [12th] nerve
3526,Disorders of other cranial nerves - Multiple cranial nerve palsies
3432,Infantile cerebral palsy - Quadriplegic
3430,Infantile cerebral palsy - Diplegic
3213,Meningitis due to other organisms - Meningitis due to herpes zoster virus
3241,Intracranial and intraspinal abscess - Intraspinal abscess
3250,Phlebitis and thrombophlebitis of intracranial venous sinuses - Phlebitis and thrombophlebitis of intracranial venous sinuses
3260,Late effects of intracranial abscess or pyogenic infection - Late effects of intracranial abscess or pyogenic infection
3300,Cerebral degenerations usually manifest in childhood - Leucodystrophy
3301,Cerebral degenerations usually manifest in childhood - Cerebral lipidoses
3302,Cerebral degenerations usually manifest in childhood - Cerebral degeneration in generalized lipidoses
3303,Cerebral degenerations usually manifest in childhood - Cerebral degeneration of childhood in other diseases classified elsewhere
3308,Cerebral degenerations usually manifest in childhood - Other cerebral degenerations in childhood
3309,Cerebral degenerations usually manifest in childhood - Unspecified
3310,Other cerebral degenerations - Alzheimer's disease
3311,Other cerebral degenerations - Pick's disease
3312,Other cerebral degenerations - Senile degeneration of brain
3313,Other cerebral degenerations - Communicating hydrocephalus
3314,Other cerebral degenerations - Obstructive hydrocephalus
3315,Other cerebral degenerations - Jakob-Creutzfeldt disease
3316,Other cerebral degenerations - Progressive multifocal leucoencephalopathy
3317,Other cerebral degenerations - Cerebral degeneration in other diseases classified elsewhere
3318,Other cerebral degenerations - Other cerebral degeneration
3249,Intracranial and intraspinal abscess - Of unspecified site
3240,Intracranial and intraspinal abscess - Intracranial abscess
3429,Hemiplegia - Unspecified
3239,"Encephalitis, myelitis and encephalomyelitis - Unspecified cause"
3215,Meningitis due to other organisms - Meningitis due to mumps virus
3216,Meningitis due to other organisms - Meningitis due to lymphocytic choriomeningitis virus
3217,Meningitis due to other organisms - Meningitis due to other and unspecified viruses
3218,Meningitis due to other organisms - Other
3220,Meningitis of unspecified cause - Nonpyogenic meningitis
3221,Meningitis of unspecified cause - Eosinophilic meningitis
3222,Meningitis of unspecified cause - Chronic meningitis
3229,"Meningitis of unspecified cause - Meningitis, unspecified"
3230,"Encephalitis, myelitis and encephalomyelitis - Kuru"
3231,"Encephalitis, myelitis and encephalomyelitis - Subacute sclerosing panencephalitis"
3232,"Encephalitis, myelitis and encephalomyelitis - Poliomyelitis"
3233,"Encephalitis, myelitis and encephalomyelitis - Arthropod-borne viral encephalitis"
3234,"Encephalitis, myelitis and encephalomyelitis - Other encephalitis due to infection"
3235,"Encephalitis, myelitis and encephalomyelitis - Encephalitis following immunization procedures"
3236,"Encephalitis, myelitis and encephalomyelitis - Postinfectious encephalitis"
3237,"Encephalitis, myelitis and encephalomyelitis - Toxic encephalitis"
3238,"Encephalitis, myelitis and encephalomyelitis - Other"
3319,Other cerebral degenerations - Unspecified
3320,Parkinson's disease - Paralysis agitans
3321,Parkinson's disease - Secondary Parkinsonism
3330,Other extrapyramidal disease and abnormal movement disorders - Other degenerative diseases of the basal ganglia
3359,Anterior horn cell disease - Unspecified
3360,Other diseases of spinal cord - Syringomyelia and syringobulbia
3361,Other diseases of spinal cord - Vascular myelopathies
3362,Other diseases of spinal cord - Subacute combined degeneration of spinal cord
3363,Other diseases of spinal cord - Myelopathy in other diseases classified elsewhere
3368,Other diseases of spinal cord - Other myelopathy
3369,Other diseases of spinal cord - Unspecified diseases of spinal cord
3370,Disorders of the autonomic nervous system - Idiopathic peripheral autonomic neuropathy
3371,Disorders of the autonomic nervous system - Peripheral autonomic neuropathy in disorders classified elsewhere
3379,Disorders of the autonomic nervous system - Unspecified
3400,Multiple sclerosis - Multiple sclerosis
3410,Other demyelinating diseases of central nervous system - Neuromyelitis optica
3411,Other demyelinating diseases of central nervous system - Schilder's disease
3418,Other demyelinating diseases of central nervous system - Other
3419,Other demyelinating diseases of central nervous system - Unspecified
3420,Hemiplegia - Flaccid hemiplegia
3421,Hemiplegia - Spastic hemiplegia
3358,Anterior horn cell disease - Other
3352,Anterior horn cell disease - Motor neurone disease
3351,Anterior horn cell disease - Spinal muscular atrophy
3338,Other extrapyramidal disease and abnormal movement disorders - Fragments of torsion dystonia
3331,Other extrapyramidal disease and abnormal movement disorders - Essential and other specified forms of tremor
3332,Other extrapyramidal disease and abnormal movement disorders - Myoclonus
3333,Other extrapyramidal disease and abnormal movement disorders - Tics of organic origin
3334,Other extrapyramidal disease and abnormal movement disorders - Huntington's chorea
3335,Other extrapyramidal disease and abnormal movement disorders - Other choreas
3336,Other extrapyramidal disease and abnormal movement disorders - Idiopathic torsion dystonia
3337,Other extrapyramidal disease and abnormal movement disorders - Symptomatic torsion dystonia
3339,Other extrapyramidal disease and abnormal movement disorders - Other and unspecified
3350,Anterior horn cell disease - Werdnig-Hoffmann disease
3340,Spinocerebellar disease - Friedreich's ataxia
3341,Spinocerebellar disease - Hereditary spastic paraplegia
3342,Spinocerebellar disease - Primary cerebellar degeneration
3343,Spinocerebellar disease - Other cerebellar ataxia
3344,Spinocerebellar disease - Cerebellar ataxia in diseases classified elsewhere
3348,Spinocerebellar disease - Other
3349,Spinocerebellar disease - Unspecified
3553,Mononeuritis of lower limb - Lesion of lateral popliteal nerve
3554,Mononeuritis of lower limb - Lesion of medial popliteal nerve
3555,Mononeuritis of lower limb - Tarsal tunnel syndrome
3675,Disorders of refraction and accommodation - Disorders of accommodation
3679,Disorders of refraction and accommodation - Unspecified
3680,Visual disturbances - Amblyopia ex anopsia
3681,Visual disturbances - Subjective visual disturbances
3682,Visual disturbances - Diplopia
3683,Visual disturbances - Other disorders of binocular vision
3684,Visual disturbances - Visual field defects
3685,Visual disturbances - Colour vision deficiencies
3686,Visual disturbances - Night blindness
3688,Visual disturbances - Other visual disturbances
3689,Visual disturbances - Unspecified
3690,"Blindness and low vision - Blindness, both eyes"
3691,"Blindness and low vision - Blindness, one eye, low vision other eye"
3692,"Blindness and low vision - Low vision, both eyes"
3693,"Blindness and low vision - Unqualified visual loss, both eyes"
3696,"Blindness and low vision - Blindness, one eye"
3697,"Blindness and low vision - Low vision, one eye"
3698,"Blindness and low vision - Unqualified visual loss, one eye"
3678,Disorders of refraction and accommodation - Other
3674,Disorders of refraction and accommodation - Presbyopia
3556,Mononeuritis of lower limb - Lesion of plantar nerve
3673,Disorders of refraction and accommodation - Anisometropia and aniseikonia
3653,Glaucoma - Corticosteroid-induced glaucoma
3654,"Glaucoma - Glaucoma associated with congenital anomalies, with dystrophies and with systemic syndromes"
3655,Glaucoma - Glaucoma associated with disorders of the lens
3656,Glaucoma - Glaucoma associated with other ocular disorders
3658,Glaucoma - Other glaucoma
3659,Glaucoma - Unspecified
3660,"Cataract - Infantile, juvenile and presenile cataract"
3661,Cataract - Senile cataract
3662,Cataract - Traumatic cataract
3663,Cataract - Cataract secondary to ocular disorders
3664,Cataract - Cataract associated with other disorders
3665,Cataract - After-cataract
3668,Cataract - Other cataract
3669,Cataract - Unspecified
3670,Disorders of refraction and accommodation - Hypermetropia
3671,Disorders of refraction and accommodation - Myopia
3672,Disorders of refraction and accommodation - Astigmatism
3699,Blindness and low vision - Unspecified visual loss
3700,Keratitis - Corneal ulcer
3701,Keratitis - Dendritic keratitis
3702,Keratitis - Other superficial keratitis without conjunctivitis
3724,Disorders of conjunctiva - Pterygium
3725,Disorders of conjunctiva - Conjunctival degenerations and deposits
3726,Disorders of conjunctiva - Conjunctival scars
3727,Disorders of conjunctiva - Conjunctival vascular disorders and cysts
3728,Disorders of conjunctiva - Other disorders of conjunctiva
3729,Disorders of conjunctiva - Unspecified
3730,Inflammation of eyelids - Blepharitis
3731,Inflammation of eyelids - Hordeolum and other deep inflammation of eyelid
3732,Inflammation of eyelids - Chalazion
3733,Inflammation of eyelids - Noninfectious dermatoses of eyelid
3734,Inflammation of eyelids - Infective dermatitis of eyelid of types resulting in deformity
3735,Inflammation of eyelids - Other infective dermatitis of eyelid
3736,Inflammation of eyelids - Parasitic infestation of eyelid
3738,Inflammation of eyelids - Other
3739,Inflammation of eyelids - Unspecified
3740,Non inflammatory disorders of eyelids - Entropion and trichiasis of eyelid
3741,Non inflammatory disorders of eyelids - Ectropion
3723,Disorders of conjunctiva - Other and unspecified conjunctivitis
3722,Disorders of conjunctiva - Blepharoconjunctivitis
3721,Disorders of conjunctiva - Chronic conjunctivitis
3711,Corneal opacity and other disorders of cornea - Corneal pigmentations and deposits
3703,Keratitis - Certain types of keratoconjunctivitis
3704,Keratitis - Other and unspecified keratoconjunctivitis
3705,Keratitis - Interstitial and deep keratitis
3706,Keratitis - Corneal neovascularization
3708,Keratitis - Other forms of keratitis
3709,Keratitis - Unspecified
3710,Corneal opacity and other disorders of cornea - Corneal scars and opacities
3712,Corneal opacity and other disorders of cornea - Corneal oedema
3720,Disorders of conjunctiva - Acute conjunctivitis
3713,Corneal opacity and other disorders of cornea - Changes of corneal membranes
3714,Corneal opacity and other disorders of cornea - Corneal degenerations
3715,Corneal opacity and other disorders of cornea - Hereditary corneal dystrophies
3716,Corneal opacity and other disorders of cornea - Keratoconus
3717,Corneal opacity and other disorders of cornea - Other corneal deformities
3718,Corneal opacity and other disorders of cornea - Other corneal disorders
3719,Corneal opacity and other disorders of cornea - Unspecified
3652,Glaucoma - Primary angle-closure glaucoma
3651,Glaucoma - Open-angle glaucoma
3650,Glaucoma - Borderline glaucoma
3604,Disorders of the globe - Degenerated conditions of globe
3580,Myoneural disorders - Myasthenia gravis
3581,Myoneural disorders - Myasthenic syndromes in diseases classified elsewhere
3582,Myoneural disorders - Toxic myoneural disorders
3588,Myoneural disorders - Other
3589,Myoneural disorders - Unspecified
3590,Muscular dystrophies and other myopathies - Congenital hereditary muscular dystrophy
3591,Muscular dystrophies and other myopathies - Hereditary progressive muscular dystrophy
3592,Muscular dystrophies and other myopathies - Myotonic disorders
3593,Muscular dystrophies and other myopathies - Familial periodic paralysis
3594,Muscular dystrophies and other myopathies - Toxic myopathy
3595,Muscular dystrophies and other myopathies - Endocrine myopathy
3596,Muscular dystrophies and other myopathies - Symptomatic inflammatory myopathy
3598,Muscular dystrophies and other myopathies - Other
3599,Muscular dystrophies and other myopathies - Unspecified
3600,Disorders of the globe - Purulent endophthalmitis
3601,Disorders of the globe - Other endophthalmitis
3602,Disorders of the globe - Degenerative disorders of globe
3579,Inflammatory and toxic neuropathy - Unspecified
3578,Inflammatory and toxic neuropathy - Other
3577,Inflammatory and toxic neuropathy - Polyneuropathy due to other toxic agents
3564,Hereditary and idiopathic peripheral neuropathy - Idiopathic progressive polyneuropathy
3557,Mononeuritis of lower limb - Other
3558,Mononeuritis of lower limb - Unspecified mononeuritis of lower limb
3559,Mononeuritis of lower limb - Mononeuritis of unspecified site
3560,Hereditary and idiopathic peripheral neuropathy - Hereditary peripheral neuropathy
3561,Hereditary and idiopathic peripheral neuropathy - Peroneal muscular atrophy
3562,Hereditary and idiopathic peripheral neuropathy - Hereditary sensory neuropathy
3563,Hereditary and idiopathic peripheral neuropathy - Refsum's disease
3568,Hereditary and idiopathic peripheral neuropathy - Other
3576,Inflammatory and toxic neuropathy - Polyneuropathy due to drugs
3569,Hereditary and idiopathic peripheral neuropathy - Unspecified
3570,Inflammatory and toxic neuropathy - Acute infective polyneuritis
3571,Inflammatory and toxic neuropathy - Polyneuropathy in collagen vascular disease
3572,Inflammatory and toxic neuropathy - Polyneuropathy in diabetes
3573,Inflammatory and toxic neuropathy - Polyneuropathy in malignant disease
3574,Inflammatory and toxic neuropathy - Polyneuropathy in other diseases classified elsewhere
3575,Inflammatory and toxic neuropathy - Alcoholic polyneuropathy
3603,Disorders of the globe - Hypotony of eye
3605,"Disorders of the globe - Retained (old) intraocular foreign body, magnetic"
3649,Disorders of iris and ciliary body - Unspecified
3606,"Disorders of the globe - Retained (old) intraocular foreign body, nonmagnetic"
3632,Chorioretinal inflammations and scars and other disorders of choroid - Other and unspecified forms of chorioretinitis and retinochoroiditis
3633,Chorioretinal inflammations and scars and other disorders of choroid - Chorioretinal scars
3634,Chorioretinal inflammations and scars and other disorders of choroid - Choroidal degenerations
3635,Chorioretinal inflammations and scars and other disorders of choroid - Hereditary choroidal dystrophies
3636,Chorioretinal inflammations and scars and other disorders of choroid - Choroidal haemorrhage and rupture
3637,Chorioretinal inflammations and scars and other disorders of choroid - Choroidal detachment
3638,Chorioretinal inflammations and scars and other disorders of choroid - Other disorders of choroid
3639,Chorioretinal inflammations and scars and other disorders of choroid - Unspecified
3640,Disorders of iris and ciliary body - Acute and subacute iridocyclitis
3641,Disorders of iris and ciliary body - Chronic iridocyclitis
3642,Disorders of iris and ciliary body - Certain types of iridocyclitis
3643,Disorders of iris and ciliary body - Unspecified iridocyclitis
3644,Disorders of iris and ciliary body - Vascular disorders of iris and ciliary body
3645,Disorders of iris and ciliary body - Degenerations of iris and ciliary body
3646,"Disorders of iris and ciliary body - Cysts of iris, ciliary body and anterior chamber"
3647,Disorders of iris and ciliary body - Adhesions and disruptions of iris and ciliary body
3648,Disorders of iris and ciliary body - Other disorders of iris and ciliary body
3631,Chorioretinal inflammations and scars and other disorders of choroid - Disseminated chorioretinitis and disseminated retinochoroiditis
3630,Chorioretinal inflammations and scars and other disorders of choroid - Focal chorioretinitis and focal retinochoroiditis
3629,Other retinal disorders - Unspecified
3619,Retinal detachments and defects - Unspecified
3608,Disorders of the globe - Other disorders of globe
3609,Disorders of the globe - Unspecified
3610,Retinal detachments and defects - Retinal detachment with retinal defect
3611,Retinal detachments and defects - Retinoschisis and retinal cysts
3612,Retinal detachments and defects - Serous retinal detachment
3613,Retinal detachments and defects - Retinal defects without detachment
3618,Retinal detachments and defects - Other forms of retinal detachment
3620,Other retinal disorders - Diabetic retinopathy
3628,Other retinal disorders - Other retinal disorders
3621,Other retinal disorders - Other background retinopathy and retinal vascular changes
3622,Other retinal disorders - Other proliferative retinopathy
3623,Other retinal disorders - Retinal vascular occlusion
3624,Other retinal disorders - Separation of retinal layers
3625,Other retinal disorders - Degeneration of macula and posterior pole
3626,Other retinal disorders - Peripheral retinal degenerations
3627,Other retinal disorders - Hereditary retinal dystrophies
3214,Meningitis due to other organisms - Meningitis due to herpes simplex virus
3212,Meningitis due to other organisms - Meningitis due to ECHO virus
3743,Non inflammatory disorders of eyelids - Ptosis of eyelid
2863,Coagulation defects - Congenital deficiency of other clotting factors
2865,Coagulation defects - Haemorrhagic disorder due to circulating anticoagulants
2866,Coagulation defects - Defibrination syndrome
2867,Coagulation defects - Acquired coagulation factor deficiency
2869,Coagulation defects - Other and unspecified coagulation defects
2870,Purpura and other haemorrhagic conditions - Allergic purpura
2871,Purpura and other haemorrhagic conditions - Qualitative platelet defects
2872,Purpura and other haemorrhagic conditions - Other nonthrombocytopenic purpuras
2873,Purpura and other haemorrhagic conditions - Primary thrombocytopenia
2874,Purpura and other haemorrhagic conditions - Secondary thrombocytopenia
2875,"Purpura and other haemorrhagic conditions - Thrombocytopenia, unspecified"
2878,Purpura and other haemorrhagic conditions - Other specified haemorrhagic conditions
2879,Purpura and other haemorrhagic conditions - Unspecified haemorrhagic conditions
2880,Diseases of white blood cells - Agranulocytosis
2881,Diseases of white blood cells - Functional disorders of neutrophil polymorphonuclears
2882,Diseases of white blood cells - Genetic anomalies of leucocytes
2883,Diseases of white blood cells - Eosinophilia
2888,Diseases of white blood cells - Other
2864,Coagulation defects - Von Willebrand's disease
2862,Coagulation defects - Congenital factor XI deficiency
2823,Hereditary haemolytic anaemias - Other haemolytic anaemias due to enzyme deficiency
2861,Coagulation defects - Congenital factor IX disorder
2825,Hereditary haemolytic anaemias - Sickle-cell trait
2826,Hereditary haemolytic anaemias - Sickle-cell anaemia
2827,Hereditary haemolytic anaemias - Other haemoglobinopathies
2828,Hereditary haemolytic anaemias - Other
2829,Hereditary haemolytic anaemias - Unspecified
2830,Acquired haemolytic anaemias - Autoimmune haemolytic anaemias
2831,Acquired haemolytic anaemias - Non-autoimmune haemolytic anaemias
2832,Acquired haemolytic anaemias - Haemoglobinuria due to haemolysis from external causes
2839,Acquired haemolytic anaemias - Unspecified
2840,Aplastic anaemia - Constitutional aplastic anaemia
2848,Aplastic anaemia - Other
2849,Aplastic anaemia - Unspecified
2850,Other and unspecified anaemias - Sideroblastic anaemia
2851,Other and unspecified anaemias - Acute posthaemorrhagic anaemia
2858,Other and unspecified anaemias - Other specified anaemias
2859,Other and unspecified anaemias - Anaemia unspecified
2860,Coagulation defects - Congenital factor VIII disorder
2889,Diseases of white blood cells - Unspecified
2890,Other diseases of blood and blood-forming organs - Secondary polycythaemia
2891,Other diseases of blood and blood-forming organs - Chronic lymphadenitis
2892,Other diseases of blood and blood-forming organs - Nonspecific mesenteric lymphadenitis
2918,Alcoholic psychoses - Other
2919,Alcoholic psychoses - Unspecified
2920,Drug psychoses - Drug withdrawal syndrome
2921,Drug psychoses - Paranoid and/or hallucinatory states induced by drugs
2922,Drug psychoses - Pathological drug intoxication
2928,Drug psychoses - Other
2929,Drug psychoses - Unspecified
2930,Transient organic psychotic conditions - Acute confusional state
2931,Transient organic psychotic conditions - Subacute confusional state
2938,Transient organic psychotic conditions - Other
2939,Transient organic psychotic conditions - Unspecified
2940,Other organic psychotic conditions (chronic) - Korsakov's psychosis or syndrome (nonalcoholic)
2941,Other organic psychotic conditions (chronic) - Dementia in conditions classified elsewhere
2948,Other organic psychotic conditions (chronic) - Other
2949,Other organic psychotic conditions (chronic) - Unspecified
2950,Schizophrenic psychoses - Simple type
2951,Schizophrenic psychoses - Hebephrenic type
2915,Alcoholic psychoses - Alcoholic jealousy
2914,Alcoholic psychoses - Pathological drunkenness
2913,Alcoholic psychoses - Other alcoholic hallucinosis
2900,"Senile and presenile organic psychotic conditions - Senile dementia, simple type"
2893,"Other diseases of blood and blood-forming organs - Lymphadenitis, unspecified, except mesenteric"
2894,Other diseases of blood and blood-forming organs - Hypersplenism
2895,Other diseases of blood and blood-forming organs - Other diseases of spleen
2896,Other diseases of blood and blood-forming organs - Familial polycythaemia
2897,Other diseases of blood and blood-forming organs - Methaemoglobinaemia
2898,Other diseases of blood and blood-forming organs - Other
2899,Other diseases of blood and blood-forming organs - Unspecified
2901,Senile and presenile organic psychotic conditions - Presenile dementia
2912,Alcoholic psychoses - Other alcoholic dementia
2902,"Senile and presenile organic psychotic conditions - Senile dementia, depressed or paranoid type"
2903,Senile and presenile organic psychotic conditions - Senile dementia with acute confusional state
2904,Senile and presenile organic psychotic conditions - Arteriosclerotic dementia
2908,Senile and presenile organic psychotic conditions - Other
2909,Senile and presenile organic psychotic conditions - Unspecified
2910,Alcoholic psychoses - Delirium tremens
2911,"Alcoholic psychoses - Korsakov's psychosis, alcoholic"
2824,Hereditary haemolytic anaemias - Thalassaemias
2822,Hereditary haemolytic anaemias - Anaemia due to disorders of glutathione metabolism
3211,Meningitis due to other organisms - Meningitis due to Coxsackie virus
2728,Disorders of lipoid metabolism - Other disorders of lipoid metabolism
2730,Disorders of plasma protein metabolism - Polyclonal hypergammaglobulinaemia
2731,Disorders of plasma protein metabolism - Monoclonal paraproteinaemia
2732,Disorders of plasma protein metabolism - Other paraproteinaemias
2733,Disorders of plasma protein metabolism - Macroglobulinaemia
2738,Disorders of plasma protein metabolism - Other
2739,Disorders of plasma protein metabolism - Unspecified
2740,Gout - Gouty arthropathy
2741,Gout - Gouty nephropathy
2748,Gout - Gout with other manifestations
2749,Gout - Unspecified
2750,Disorders of mineral metabolism - Disorders of iron metabolism
2751,Disorders of mineral metabolism - Disorders of copper metabolism
2752,Disorders of mineral metabolism - Disorders of magnesium metabolism
2753,Disorders of mineral metabolism - Disorders of phosphorus metabolism
2754,Disorders of mineral metabolism - Disorders of calcium metabolism
2758,Disorders of mineral metabolism - Other
2759,Disorders of mineral metabolism - Unspecified
2729,Disorders of lipoid metabolism - Unspecified disorders of lipoid metabolism
2727,Disorders of lipoid metabolism - Lipidoses
2821,Hereditary haemolytic anaemias - Hereditary elliptocytosis
2726,Disorders of lipoid metabolism - Lipodystrophy
2706,Disorders of amino-acid transport and metabolism - Disorders of urea cycle metabolism
2707,Disorders of amino-acid transport and metabolism - Other disturbances of straight-chain amino-acid metabolism
2708,Disorders of amino-acid transport and metabolism - Other
2709,Disorders of amino-acid transport and metabolism - Unspecified
2710,Disorders of carbohydrate transport and metabolism - Glycogenosis
2711,Disorders of carbohydrate transport and metabolism - Galactosaemia
2712,Disorders of carbohydrate transport and metabolism - Hereditary fructose intolerance
2713,Disorders of carbohydrate transport and metabolism - Intestinal disaccharidase deficiencies and disaccharide malabsorption
2714,Disorders of carbohydrate transport and metabolism - Renal glycosuria
2718,Disorders of carbohydrate transport and metabolism - Other
2719,Disorders of carbohydrate transport and metabolism - Unspecified
2720,Disorders of lipoid metabolism - Pure hypercholesterolaemia
2721,Disorders of lipoid metabolism - Pure hyperglyceridaemia
2722,Disorders of lipoid metabolism - Mixed hyperlipidaemia
2723,Disorders of lipoid metabolism - Hyperchylomicronaemia
2724,Disorders of lipoid metabolism - Other and unspecified hyperlipidaemia
2725,Disorders of lipoid metabolism - Lipoprotein deficiencies
2760,"Disorders of fluid, electrolyte and acid-base balance - Hyperosmolality and/or hypernatraemia"
2761,"Disorders of fluid, electrolyte and acid-base balance - Hyposmolality and/or hyponatraemia"
2762,"Disorders of fluid, electrolyte and acid-base balance - Acidosis"
2763,"Disorders of fluid, electrolyte and acid-base balance - Alkalosis"
2788,Obesity and other hyperalimentation - Other
2790,Disorders involving the immune mechanism - Deficiency of humoral immunity
2791,Disorders involving the immune mechanism - Deficiency of cell-mediated immunity
2792,Disorders involving the immune mechanism - Combined immunity deficiency
2793,Disorders involving the immune mechanism - Unspecified immunity deficiency
2794,"Disorders involving the immune mechanism - Autoimmune disease, not elsewhere classified"
2798,Disorders involving the immune mechanism - Other
2799,Disorders involving the immune mechanism - Unspecified
2800,Iron deficiency anaemias - Iron deficiency anaemias
2810,Other deficiency anaemias - Pernicious anaemia
2811,Other deficiency anaemias - Other vitamin-B12-deficiency anaemia
2812,Other deficiency anaemias - Folate-deficiency anaemia
2813,"Other deficiency anaemias - Other specified megaloblastic anaemias, not elsewhere classified"
2814,Other deficiency anaemias - Protein-deficiency anaemia
2818,Other deficiency anaemias - Anaemia associated with other specified nutritional deficiency
2819,Other deficiency anaemias - Unspecified
2820,Hereditary haemolytic anaemias - Hereditary spherocytosis
2784,Obesity and other hyperalimentation - Hypervitaminosis D
2783,Obesity and other hyperalimentation - Hypercarotinaemia
2782,Obesity and other hyperalimentation - Hypervitaminosis A
2771,Other and unspecified disorders of metabolism - Disorders of porphyrin metabolism
2764,"Disorders of fluid, electrolyte and acid-base balance - Mixed acid-base balance disorder"
2765,"Disorders of fluid, electrolyte and acid-base balance - Volume depletion"
2766,"Disorders of fluid, electrolyte and acid-base balance - Fluid overload"
2767,"Disorders of fluid, electrolyte and acid-base balance - Hyperpotassaemia"
2768,"Disorders of fluid, electrolyte and acid-base balance - Hypopotassaemia"
2769,"Disorders of fluid, electrolyte and acid-base balance - Electrolyte and fluid disorders, not elsewhere classified"
2770,Other and unspecified disorders of metabolism - Cystic fibrosis
2772,Other and unspecified disorders of metabolism - Other disorders of purine and pyrimidine metabolism
2781,Obesity and other hyperalimentation - Localized adiposity
2773,Other and unspecified disorders of metabolism - Amyloidosis
2774,Other and unspecified disorders of metabolism - Disorders of bilirubin excretion
2775,Other and unspecified disorders of metabolism - Mucopolysaccharidosis
2776,Other and unspecified disorders of metabolism - Other deficiencies of circulating enzymes
2778,Other and unspecified disorders of metabolism - Other
2779,Other and unspecified disorders of metabolism - Unspecified
2780,Obesity and other hyperalimentation - Obesity
2952,Schizophrenic psychoses - Catatonic type
2953,Schizophrenic psychoses - Paranoid type
2954,Schizophrenic psychoses - Acute schizophrenic episode
